gene	target_id	sample_group	rows	unique_samples	good_samples	median_percent_covered	median_mean_depth	max_mean_depth
nifB	nifB|NC_012848|NC_012848_-_Symbiosis_Island|ref18	Rh	372	372	9	0.0000	0.0000	2612.7366
nifB	nifB|NC_012848|NC_012848_-_Symbiosis_Island|ref18	Ro	366	366	7	0.0000	0.0000	577.2403
nifB	nifB|NC_014120|NC_014120_-_Symbiosis_Island_2|ref19	BLAN	12	12	0	3.7523	0.5748	6.6792
nifB	nifB|NC_014120|NC_014120_-_Symbiosis_Island_2|ref19	No	366	366	0	3.5335	0.2333	2961.4321
nifB	nifB|NC_014120|NC_014120_-_Symbiosis_Island_2|ref19	Rh	372	372	0	4.8468	0.3634	719.5235
nifB	nifB|NC_014120|NC_014120_-_Symbiosis_Island_2|ref19	Ro	366	366	0	2.6266	0.1270	2415.8712
nifB	nifB|NC_015656|NC_015656_-_Symbiosis_Island|ref20	BLAN	12	12	0	10.1967	0.8250	572.4639
nifB	nifB|NC_015656|NC_015656_-_Symbiosis_Island|ref20	No	366	366	4	9.5110	0.9934	6303.7323
nifB	nifB|NC_015656|NC_015656_-_Symbiosis_Island|ref20	Rh	372	372	2	8.7657	0.8715	1440.1175
nifB	nifB|NC_015656|NC_015656_-_Symbiosis_Island|ref20	Ro	366	366	2	5.5754	0.2996	6130.1950
nifB	nifB|NC_017249|NC_017249_-_Symbiosis_Island|ref21	BLAN	12	12	6	92.7334	13.5023	6674.0247
nifB	nifB|NC_017249|NC_017249_-_Symbiosis_Island|ref21	No	366	366	151	80.7666	42.2754	7939.3367
nifB	nifB|NC_017249|NC_017249_-_Symbiosis_Island|ref21	Rh	372	372	66	64.4000	6.8553	7156.6647
nifB	nifB|NC_017249|NC_017249_-_Symbiosis_Island|ref21	Ro	366	366	70	67.7000	7.0820	4003.6687
nifB	nifB|NC_019848|NC_019848_-_Symbiosis_Island_3|ref22	BLAN	12	12	11	100.0000	18.9196	787.3625
nifB	nifB|NC_019848|NC_019848_-_Symbiosis_Island_3|ref22	No	366	366	55	13.3401	1.1456	7937.5356
nifB	nifB|NC_019848|NC_019848_-_Symbiosis_Island_3|ref22	Rh	372	372	37	11.0659	1.1544	7806.7108
nifB	nifB|NC_019848|NC_019848_-_Symbiosis_Island_3|ref22	Ro	366	366	45	9.0971	0.5736	7929.3198
nifB	nifB|NZ_CP141049|NZ_CP141049_-_Symbiosis_Island_2|ref23	BLAN	12	12	1	10.6950	0.6113	12.7105
nifB	nifB|NZ_CP141049|NZ_CP141049_-_Symbiosis_Island_2|ref23	No	366	366	69	50.5735	5.8168	7257.7045
nifB	nifB|NZ_CP141049|NZ_CP141049_-_Symbiosis_Island_2|ref23	Rh	372	372	40	35.1552	4.7192	5850.1356
