sample	target	length	covered_bases	percent_covered_from_pileup	mean_depth_from_pileup	median_depth_from_pileup	N_count	N_percent	mixed_positions	max_minor_allele_fraction	min_base_qual	min_map_qual	minor_count_threshold	minor_fraction_threshold	mixed_site_depth_threshold	mixed_positions_threshold	status
SCBI-2-1-No	nolF.fa	1110	1100	99.0991	13.2378	13	10	0.9009	2	0.3750	20	10	5	0.2000	20	10	pass_single_dominant
SCBI-2-1-Rh	nolF.fa	1110	1071	96.4865	15.0234	15	39	3.5135	1	0.2778	20	10	5	0.2000	20	10	pass_single_dominant
SCBI-2-1-Ro	nolF.fa	1110	1063	95.7658	9.1063	9	47	4.2342	0	0.3750	20	10	5	0.2000	20	10	pass_single_dominant
SCBI-3-1-Rh	nolF.fa	1110	1097	98.8288	12.9369	14	13	1.1712	3	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
SCBI-3-1-Ro	nolF.fa	1110	1055	95.0450	12.4973	13	55	4.9550	1	0.4118	20	10	5	0.2000	20	10	pass_single_dominant
SCBI-4-1-Rh	nolF.fa	1110	1057	95.2252	6.0423	6	53	4.7748	0	0.2500	20	10	5	0.2000	20	10	pass_single_dominant
SERC-3-1-Ro	nolF.fa	1110	1103	99.3694	8.5216	9	7	0.6306	0	0.1429	20	10	5	0.2000	20	10	pass_single_dominant
SERC-6-1-No	nolF.fa	1110	1082	97.4775	16.4883	18	28	2.5225	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
SRER-18-1-No	nolF.fa	1110	1103	99.3694	8.4189	8	7	0.6306	0	0.1000	20	10	5	0.2000	20	10	pass_single_dominant
TALL-22-Ro	nolF.fa	1110	1066	96.0360	6.4676	5	44	3.9640	0	0.2500	20	10	5	0.2000	20	10	pass_single_dominant
TALL-24-2-No	nolF.fa	1110	1100	99.0991	13.7730	14	10	0.9009	0	0.1111	20	10	5	0.2000	20	10	pass_single_dominant
TALL-28-1-No	nolF.fa	1110	1102	99.2793	18.8477	18	8	0.7207	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
TALL-28-1-Ro	nolF.fa	1110	1073	96.6667	11.8090	12	37	3.3333	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
TALL-29-3-No	nolF.fa	1110	1102	99.2793	16.5505	16	8	0.7207	2	0.3571	20	10	5	0.2000	20	10	pass_single_dominant
TALL-29-3-Rh	nolF.fa	1110	1103	99.3694	10.3432	10	7	0.6306	0	0.4615	20	10	5	0.2000	20	10	pass_single_dominant
TALL-60-1-No	nolF.fa	1110	1075	96.8468	9.7739	7	35	3.1532	0	0.4000	20	10	5	0.2000	20	10	pass_single_dominant
TALL-74-3-No	nolF.fa	1110	1101	99.1892	13.1694	13	9	0.8108	0	0.2000	20	10	5	0.2000	20	10	pass_single_dominant
TALL-92-1-Ro	nolF.fa	1110	1063	95.7658	6.1369	5	47	4.2342	0	0.3333	20	10	5	0.2000	20	10	pass_single_dominant
TEAK-1-2-Ro	nolF.fa	1110	1103	99.3694	17.2559	16	7	0.6306	2	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
TEAK-3-1-Ro	nolF.fa	1110	1067	96.1261	8.7198	9	43	3.8739	0	0.1429	20	10	5	0.2000	20	10	pass_single_dominant
TOOL-10-Ro	nolF.fa	1110	1042	93.8739	9.2802	11	68	6.1261	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
TOOL-16-No	nolF.fa	1110	1103	99.3694	12.0432	12	7	0.6306	0	0.3846	20	10	5	0.2000	20	10	pass_single_dominant
TOOL-17-Ro	nolF.fa	1110	1103	99.3694	9.1694	9	7	0.6306	1	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
TOOL-1-Rh	nolF.fa	1110	987	88.9189	9.2694	10	123	11.0811	0	0.4545	20	10	5	0.2000	20	10	pass_single_dominant
TOOL-1-Ro	nolF.fa	1110	1100	99.0991	21.1802	23	10	0.9009	3	0.4000	20	10	5	0.2000	20	10	pass_single_dominant
TOOL-25-Ro	nolF.fa	1110	1095	98.6486	16.5568	17	15	1.3514	2	0.3478	20	10	5	0.2000	20	10	pass_single_dominant
TOOL-4-No	nolF.fa	1110	1071	96.4865	9.6658	10	39	3.5135	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
OSBS-36-1-No	nolF.fa	1110	1107	99.7297	6370.9586	6888	3	0.2703	0	0.0959	20	10	5	0.2000	20	10	pass_single_dominant
WOOD-10-1-Rh	nolF.fa	1110	1103	99.3694	23.8306	26	7	0.6306	6	0.4286	20	10	5	0.2000	20	10	pass_single_dominant
WOOD-10-1-Ro	nolF.fa	1110	1100	99.0991	171.9000	16	10	0.9009	2	0.4444	20	10	5	0.2000	20	10	pass_single_dominant
WOOD-10-1-No	nolF.fa	1110	1104	99.4595	6165.1144	6495	6	0.5405	3	0.4571	20	10	5	0.2000	20	10	pass_single_dominant
