sample	site	sample_type	in_metadata_exact	match_status	metadata_sample_norm_match	n_norm_matches
CLBJ-50-3-Rh	CLBJ	Rh	yes	exact_match	CLBJ-50-3-Rh	1
CLBJ-5-2-Rh	CLBJ	Rh	yes	exact_match	CLBJ-5-2-Rh	1
CLBJ-5-2-Ro	CLBJ	Ro	yes	exact_match	CLBJ-5-2-Ro	1
CLBJ-6-3-No	CLBJ	No	yes	exact_match	CLBJ-6-3-No	1
CLBJ-6-3-Rh	CLBJ	Rh	yes	exact_match	CLBJ-6-3-Rh	1
CLBJ-6-3-Ro	CLBJ	Ro	yes	exact_match	CLBJ-6-3-Ro	1
CLBJ-7-1-No	CLBJ	No	yes	exact_match	CLBJ-7-1-No	1
CLBJ-7-1-Rh	CLBJ	Rh	yes	exact_match	CLBJ-7-1-Rh	1
CLBJ-7-1-Ro	CLBJ	Ro	yes	exact_match	CLBJ-7-1-Ro	1
CLBJ-8-1-No	CLBJ	No	yes	exact_match	CLBJ-8-1-No	1
CLBJ-8-1-Rh	CLBJ	Rh	yes	exact_match	CLBJ-8-1-Rh	1
CLBJ-8-1-Ro	CLBJ	Ro	yes	exact_match	CLBJ-8-1-Ro	1
CLBJ-9-1-No	CLBJ	No	yes	exact_match	CLBJ-9-1-No	1
CLBJ-9-1-Rh	CLBJ	Rh	yes	exact_match	CLBJ-9-1-Rh	1
CLBJ-9-1-Ro	CLBJ	Ro	yes	exact_match	CLBJ-9-1-Ro	1
CPER-1-No	CPER	No	yes	exact_match	CPER-1-No	1
CPER-1-Rh	CPER	Rh	yes	exact_match	CPER-1-Rh	1
CPER-1-Ro	CPER	Ro	yes	exact_match	CPER-1-Ro	1
CLBJ-5-2-No	CLBJ	No	yes	exact_match	CLBJ-5-2-No	1
CPER-2-Rh	CPER	Rh	yes	exact_match	CPER-2-Rh	1
CPER-2-Ro	CPER	Ro	yes	exact_match	CPER-2-Ro	1
CPER-2-No	CPER	No	yes	exact_match	CPER-2-No	1
CPER-3-1-Rh	CPER	Rh	yes	exact_match	CPER-3-1-Rh	1
CPER-3-1-Ro	CPER	Ro	yes	exact_match	CPER-3-1-Ro	1
CPER-3-1-No	CPER	No	yes	exact_match	CPER-3-1-No	1
CPER-4-Rh	CPER	Rh	yes	exact_match	CPER-4-Rh	1
CPER-4-Ro	CPER	Ro	yes	exact_match	CPER-4-Ro	1
CPER-4-No	CPER	No	yes	exact_match	CPER-4-No	1
CPER-5-1-Rh	CPER	Rh	yes	exact_match	CPER-5-1-Rh	1
CPER-5-1-Ro	CPER	Ro	yes	exact_match	CPER-5-1-Ro	1
DCFS-1-2-No	DCFS	No	yes	exact_match	DCFS-1-2-No	1
DCFS-1-2-Rh	DCFS	Rh	yes	exact_match	DCFS-1-2-Rh	1
DCFS-1-2-Ro	DCFS	Ro	yes	exact_match	DCFS-1-2-Ro	1
CPER-5-1-No	CPER	No	yes	exact_match	CPER-5-1-No	1
DCFS-2-2-Rh	DCFS	Rh	yes	exact_match	DCFS-2-2-Rh	1
DCFS-2-2-Ro	DCFS	Ro	yes	exact_match	DCFS-2-2-Ro	1
DCFS-3-2-No	DCFS	No	yes	exact_match	DCFS-3-2-No	1
DCFS-3-2-Rh	DCFS	Rh	yes	exact_match	DCFS-3-2-Rh	1
DCFS-3-2-Ro	DCFS	Ro	yes	exact_match	DCFS-3-2-Ro	1
DCFS-2-2-No	DCFS	No	yes	exact_match	DCFS-2-2-No	1
DCFS-4-Rh	DCFS	Rh	yes	exact_match	DCFS-4-Rh	1
DCFS-4-Ro	DCFS	Ro	yes	exact_match	DCFS-4-Ro	1
DCFS-4-No	DCFS	No	yes	exact_match	DCFS-4-No	1
DCFS-5-1-Rh	DCFS	Rh	yes	exact_match	DCFS-5-1-Rh	1
DCFS-5-1-Ro	DCFS	Ro	yes	exact_match	DCFS-5-1-Ro	1
DCFS-5-1-No	DCFS	No	yes	exact_match	DCFS-5-1-No	1
DCFS-6-1-Rh	DCFS	Rh	yes	exact_match	DCFS-6-1-Rh	1
DCFS-6-1-Ro	DCFS	Ro	yes	exact_match	DCFS-6-1-Ro	1
DCFS-7-1-No	DCFS	No	yes	exact_match	DCFS-7-1-No	1
DCFS-7-1-Rh	DCFS	Rh	yes	exact_match	DCFS-7-1-Rh	1
DCFS-7-1-Ro	DCFS	Ro	yes	exact_match	DCFS-7-1-Ro	1
DCFS-6-1-No	DCFS	No	yes	exact_match	DCFS-6-1-No	1
DCFS-8-1-Rh	DCFS	Rh	yes	exact_match	DCFS-8-1-Rh	1
DCFS-8-1-Ro	DCFS	Ro	yes	exact_match	DCFS-8-1-Ro	1
DEJU-10-1-No	DEJU	No	yes	exact_match	DEJU-10-1-No	1
DEJU-10-1-Rh	DEJU	Rh	yes	exact_match	DEJU-10-1-Rh	1
DEJU-10-1-Ro	DEJU	Ro	yes	exact_match	DEJU-10-1-Ro	1
DEJU-11-1-No	DEJU	No	yes	exact_match	DEJU-11-1-No	1
DEJU-11-1-Rh	DEJU	Rh	yes	exact_match	DEJU-11-1-Rh	1
DEJU-11-1-Ro	DEJU	Ro	yes	exact_match	DEJU-11-1-Ro	1
DEJU-1-1-No	DEJU	No	yes	exact_match	DEJU-1-1-No	1
DCFS-8-1-No	DCFS	No	yes	exact_match	DCFS-8-1-No	1
DEJU-1-1-Rh	DEJU	Rh	yes	exact_match	DEJU-1-1-Rh	1
DEJU-1-1-Ro	DEJU	Ro	yes	exact_match	DEJU-1-1-Ro	1
DEJU-12-1-No	DEJU	No	yes	exact_match	DEJU-12-1-No	1
DEJU-12-1-Rh	DEJU	Rh	yes	exact_match	DEJU-12-1-Rh	1
DEJU-12-1-Ro	DEJU	Ro	yes	exact_match	DEJU-12-1-Ro	1
DEJU-13-1-Rh	DEJU	Rh	yes	exact_match	DEJU-13-1-Rh	1
DEJU-13-1-Ro	DEJU	Ro	yes	exact_match	DEJU-13-1-Ro	1
DEJU-13-1-No	DEJU	No	yes	exact_match	DEJU-13-1-No	1
DEJU-16-1-Rh	DEJU	Rh	yes	exact_match	DEJU-16-1-Rh	1
DEJU-16-1-Ro	DEJU	Ro	yes	exact_match	DEJU-16-1-Ro	1
DEJU-16-1-No	DEJU	No	yes	exact_match	DEJU-16-1-No	1
DEJU-16-2-Rh	DEJU	Rh	yes	exact_match	DEJU-16-2-Rh	1
DEJU-16-2-Ro	DEJU	Ro	yes	exact_match	DEJU-16-2-Ro	1
DEJU-17-1-No	DEJU	No	yes	exact_match	DEJU-17-1-No	1
DEJU-17-1-Rh	DEJU	Rh	yes	exact_match	DEJU-17-1-Rh	1
DEJU-17-1-Ro	DEJU	Ro	yes	exact_match	DEJU-17-1-Ro	1
DEJU-17-2-No	DEJU	No	yes	exact_match	DEJU-17-2-No	1
DEJU-17-2-Rh	DEJU	Rh	yes	exact_match	DEJU-17-2-Rh	1
DEJU-17-2-Ro	DEJU	Ro	yes	exact_match	DEJU-17-2-Ro	1
DEJU-16-2-No	DEJU	No	yes	exact_match	DEJU-16-2-No	1
DEJU-18-1-No	DEJU	No	yes	exact_match	DEJU-18-1-No	1
DEJU-18-1-Rh	DEJU	Rh	yes	exact_match	DEJU-18-1-Rh	1
DEJU-19-1-No	DEJU	No	yes	exact_match	DEJU-19-1-No	1
DEJU-19-1-Rh	DEJU	Rh	yes	exact_match	DEJU-19-1-Rh	1
DEJU-19-1-Ro	DEJU	Ro	yes	exact_match	DEJU-19-1-Ro	1
DEJU-20-1-No	DEJU	No	yes	exact_match	DEJU-20-1-No	1
DEJU-18-1-Ro	DEJU	Ro	yes	exact_match	DEJU-18-1-Ro	1
DEJU-20-1-Rh	DEJU	Rh	yes	exact_match	DEJU-20-1-Rh	1
DEJU-20-1-Ro	DEJU	Ro	yes	exact_match	DEJU-20-1-Ro	1
DEJU-21-1-Rh	DEJU	Rh	yes	exact_match	DEJU-21-1-Rh	1
DEJU-21-1-Ro	DEJU	Ro	yes	exact_match	DEJU-21-1-Ro	1
DEJU-22-1-No	DEJU	No	yes	exact_match	DEJU-22-1-No	1
DEJU-22-1-Rh	DEJU	Rh	yes	exact_match	DEJU-22-1-Rh	1
DEJU-22-1-Ro	DEJU	Ro	yes	exact_match	DEJU-22-1-Ro	1
DEJU-21-1-No	DEJU	No	yes	exact_match	DEJU-21-1-No	1
DEJU-23-1-Rh	DEJU	Rh	yes	exact_match	DEJU-23-1-Rh	1
DEJU-23-1-Ro	DEJU	Ro	yes	exact_match	DEJU-23-1-Ro	1
DEJU-23-1-No	DEJU	No	yes	exact_match	DEJU-23-1-No	1
DEJU-24-1-No	DEJU	No	yes	exact_match	DEJU-24-1-No	1
DEJU-24-1-Rh	DEJU	Rh	yes	exact_match	DEJU-24-1-Rh	1
DEJU-24-1-Ro	DEJU	Ro	yes	exact_match	DEJU-24-1-Ro	1
DEJU-25-No	DEJU	No	yes	exact_match	DEJU-25-No	1
DEJU-25-Rh	DEJU	Rh	yes	exact_match	DEJU-25-Rh	1
DEJU-25-Ro	DEJU	Ro	yes	exact_match	DEJU-25-Ro	1
DEJU-26-No	DEJU	No	yes	exact_match	DEJU-26-No	1
DEJU-27-No	DEJU	No	yes	exact_match	DEJU-27-No	1
DEJU-27-Rh	DEJU	Rh	yes	exact_match	DEJU-27-Rh	1
DEJU-27-Ro	DEJU	Ro	yes	exact_match	DEJU-27-Ro	1
DEJU-26-Rh	DEJU	Rh	yes	exact_match	DEJU-26-Rh	1
DEJU-28-1-No	DEJU	No	yes	exact_match	DEJU-28-1-No	1
DEJU-28-1-Ro	DEJU	Ro	yes	exact_match	DEJU-28-1-Ro	1
DEJU-28-1-Rh	DEJU	Rh	yes	exact_match	DEJU-28-1-Rh	1
DEJU-28-2-Rh	DEJU	Rh	yes	exact_match	DEJU-28-2-Rh	1
DEJU-28-2-Ro	DEJU	Ro	yes	exact_match	DEJU-28-2-Ro	1
DEJU-28-2-No	DEJU	No	yes	exact_match	DEJU-28-2-No	1
DEJU-29-1-Rh	DEJU	Rh	yes	exact_match	DEJU-29-1-Rh	1
DEJU-29-1-Ro	DEJU	Ro	yes	exact_match	DEJU-29-1-Ro	1
DEJU-29-1-No	DEJU	No	yes	exact_match	DEJU-29-1-No	1
DEJU-29-2-Rh	DEJU	Rh	yes	exact_match	DEJU-29-2-Rh	1
