Sample ID,Domain,Species,Date finalized,Qubit average,Total DNA,NebNext protocol,Isotope reference name,Sample preservation,Type,Family,Site,Genus,Tribe,Plot simple,County,State,native,Lat,Long,Date (field collection)
CLBJ-15-1-Rh,D11,Lespedeza procumbens,6/19/24,0,0,Quarter,CLBJ-15,dry,rhizosphere,Fabaceae,CLBJ,Lespedeza,Desmodieae,CLBJ_002_T,Wise,TX,yes,33.40398,-97.57114,5/8/24
CLBJ-15-1-Ro,D11,Lespedeza procumbens,6/19/24,0,0,Quarter,CLBJ-15,dry,root,Fabaceae,CLBJ,Lespedeza,Desmodieae,CLBJ_002_T,Wise,TX,yes,33.40398,-97.57114,5/8/24
CLBJ-15-1-No,D11,Lespedeza procumbens,6/19/24,0.9465,45.432,Quarter,CLBJ-15,dry,nodule,Fabaceae,CLBJ,Lespedeza,Desmodieae,CLBJ_002_T,Wise,TX,yes,33.40398,-97.57114,5/8/24
CLBJ-16-2-Rh,D11,Lespedeza virginica,6/19/24,0,0,Quarter,CLBJ-16,dry,rhizosphere,Fabaceae,CLBJ,Lespedeza,Desmodieae,CLBJ_003_T,Wise,TX,yes,33.403989,-97.572744,5/8/24
CLBJ-16-2-Ro,D11,Lespedeza virginica,6/19/24,0.0775,3.72,Quarter,CLBJ-16,dry,root,Fabaceae,CLBJ,Lespedeza,Desmodieae,CLBJ_003_T,Wise,TX,yes,33.403989,-97.572744,5/8/24
CLBJ-16-2-No,D11,Lespedeza virginica,6/19/24,1.385,66.48,Quarter,CLBJ-16,dry,nodule,Fabaceae,CLBJ,Lespedeza,Desmodieae,CLBJ_003_T,Wise,TX,yes,33.403989,-97.572744,5/8/24
CLBJ-17-1-Rh,D11,Lespedeza stuevei,6/19/24,0,0,Quarter,CLBJ-17,dry,rhizosphere,Fabaceae,CLBJ,Lespedeza,Desmodieae,CLBJ_003_T,Wise,TX,yes,33.403989,-97.572744,5/8/24
CLBJ-17-1-Ro,D11,Lespedeza stuevei,6/19/24,0,0,Quarter,CLBJ-17,dry,root,Fabaceae,CLBJ,Lespedeza,Desmodieae,CLBJ_003_T,Wise,TX,yes,33.403989,-97.572744,5/8/24
CLBJ-17-1-No,D11,Lespedeza stuevei,6/19/24,4.41,211.68,Quarter,CLBJ-17,dry,nodule,Fabaceae,CLBJ,Lespedeza,Desmodieae,CLBJ_003_T,Wise,TX,yes,33.403989,-97.572744,5/8/24
CLBJ-18-1-Rh,D11,Tephrosia virginiana,6/20/24,0.6115,29.352,Quarter,CLBJ-18,dry,rhizosphere,Fabaceae,CLBJ,Tephrosia,Millettieae,CLBJ_003_T,Wise,TX,yes,33.403989,-97.572744,5/8/24
