sample	target	length	covered_bases	percent_covered_from_pileup	mean_depth_from_pileup	median_depth_from_pileup	N_count	N_percent	mixed_positions	max_minor_allele_fraction	min_base_qual	min_map_qual	minor_count_threshold	minor_fraction_threshold	mixed_site_depth_threshold	mixed_positions_threshold	status
OAES_24-3-Ro	noeB.fa	1674	1662	99.2832	25.3172	19	12	0.7168	9	0.4444	20	10	5	0.2000	20	10	pass_single_dominant
OAES-25-1-No	noeB.fa	1674	1435	85.7228	14.1440	1	239	14.2772	0	0.0250	20	10	5	0.2000	20	10	pass_single_dominant
OAES-25-1-Ro	noeB.fa	1674	1662	99.2832	9.0502	5	12	0.7168	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
OAES-26-1-Rh	noeB.fa	1674	1553	92.7718	299.8566	2	121	7.2282	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
OAES-27-2-Ro	noeB.fa	1674	1662	99.2832	7.1786	7	12	0.7168	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
OAES-3-1-No	noeB.fa	1674	1662	99.2832	9.1446	9	12	0.7168	0	0.2000	20	10	5	0.2000	20	10	pass_single_dominant
OAES-3-1-Ro	noeB.fa	1674	1633	97.5508	13.5203	8	41	2.4492	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
OAES-36-2-No	noeB.fa	1674	1662	99.2832	6891.5621	7233	12	0.7168	0	0.1034	20	10	5	0.2000	20	10	pass_single_dominant
OAES-2-1-No	noeB.fa	1674	1663	99.3429	7332.9397	7767	11	0.6571	0	0.0561	20	10	5	0.2000	20	10	pass_single_dominant
OAES-36-3-Rh	noeB.fa	1674	1477	88.2318	1660.2109	1105	197	11.7682	0	0.0112	20	10	5	0.2000	20	10	pass_single_dominant
OAES-37-2-Ro	noeB.fa	1674	1662	99.2832	10.4032	9	12	0.7168	0	0.4118	20	10	5	0.2000	20	10	pass_single_dominant
OAES-5-Rh	noeB.fa	1674	1661	99.2234	10.1953	11	13	0.7766	0	0.4545	20	10	5	0.2000	20	10	pass_single_dominant
OAES-5-Ro	noeB.fa	1674	1662	99.2832	8.0502	7	12	0.7168	0	0.2000	20	10	5	0.2000	20	10	pass_single_dominant
OAES-6-1-No	noeB.fa	1674	1662	99.2832	15.0681	13	12	0.7168	3	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
OAES-6-1-Rh	noeB.fa	1674	1662	99.2832	21.2384	19	12	0.7168	10	0.4444	20	10	5	0.2000	20	10	pass_single_dominant
OAES-6-1-Ro	noeB.fa	1674	1662	99.2832	12.4863	12	12	0.7168	2	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
OAES-7-1-No	noeB.fa	1674	1662	99.2832	9.4588	9	12	0.7168	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
OAES-7-1-Rh	noeB.fa	1674	1662	99.2832	16.6314	17	12	0.7168	3	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
OAES-7-1-Ro	noeB.fa	1674	1662	99.2832	12.2192	12	12	0.7168	1	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
OAES-8-2-Ro	noeB.fa	1674	1662	99.2832	8.7139	9	12	0.7168	0	0.1667	20	10	5	0.2000	20	10	pass_single_dominant
OAES-36-3-No	noeB.fa	1674	1662	99.2832	6145.0370	6701	12	0.7168	0	0.1109	20	10	5	0.2000	20	10	pass_single_dominant
OSBS-36-1-Ro	noeB.fa	1674	1662	99.2832	91.2127	93	12	0.7168	0	0.0893	20	10	5	0.2000	20	10	pass_single_dominant
RMNP-1-Rh	noeB.fa	1674	1655	98.8650	6.9403	8	19	1.1350	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
SCBI-1-1-Ro	noeB.fa	1674	1609	96.1171	6.4176	6	65	3.8829	0	0.4615	20	10	5	0.2000	20	10	pass_single_dominant
