sample	sample_group	good_target_regions	good_genes	median_percent_covered	median_mean_depth	max_mean_depth
NOGP-3-2-Ro	Ro	19	16	4.7893	0.1778	1839.9159
NOGP-4-1-No	No	9	8	0.0000	0.0000	39.5929
NOGP-4-1-Rh	Rh	31	16	10.8333	0.4920	548.2772
NOGP-4-1-Ro	Ro	31	17	1.2821	0.0281	7936.7249
NOGP-5-2-No	No	33	20	1.4105	0.0550	7946.8554
NOGP-5-2-Rh	Rh	30	17	8.3060	0.4750	565.8536
NOGP-5-2-Ro	Ro	20	16	6.2092	0.1338	7765.2139
NOGP-6-3-No	No	39	19	7.8231	1.2153	7887.6563
NOGP-6-3-Rh	Rh	23	13	8.4886	0.4614	543.2783
NOGP-6-3-Ro	Ro	37	21	2.9210	0.0612	1928.4174
NOGP-7-2-No	No	25	13	8.3721	0.6702	3938.9401
NOGP-7-2-Rh	Rh	23	16	2.5840	0.1388	2802.5921
NOGP-7-2-Ro	Ro	7	7	0.6257	0.0257	67.1199
OAES-35-3-No	No	45	17	16.1650	3.3654	7707.5088
OAES-35-3-Rh	Rh	4	3	4.3783	0.1252	2530.0386
OAES-35-3-Ro	Ro	22	12	7.8189	0.3940	820.4225
OAES-36-2-No	No	27	16	4.3398	0.2385	7877.7596
OAES-36-2-Rh	Rh	11	9	3.9095	0.2399	892.7456
OAES-36-2-Ro	Ro	28	16	8.6252	0.6447	4232.5175
OAES-36-3-No	No	25	16	6.2092	0.6116	7608.3037
OAES-36-3-Rh	Rh	26	16	5.2910	0.5473	5066.4831
OAES-36-3-Ro	Ro	25	21	4.7619	0.3041	2608.2526
OAES-37-2-No	No	5	3	3.5304	0.2334	2789.6333
OAES-37-2-Rh	Rh	8	7	4.6065	0.4519	3600.4912
OAES-37-2-Ro	Ro	20	16	3.6508	0.1480	82.0912
ORNL-25-1-No	No	19	17	4.0383	0.3691	7770.1446
ORNL-25-1-Rh	Rh	5	4	1.3175	0.1135	1482.7561
ORNL-25-1-Ro	Ro	7	6	1.2868	0.0326	707.5018
ORNL-7-2-No	No	21	14	7.1537	0.9825	7133.5921
ORNL-7-2-Rh	Rh	6	5	0.0000	0.0000	1335.3456
ORNL-7-2-Ro	Ro	3	2	2.0599	0.0844	2635.0895
ORNL-8-2-No	No	30	17	3.9069	0.1955	5724.8316
ORNL-8-2-Rh	Rh	1	1	0.0000	0.0000	50.2282
ORNL-8-2-Ro	Ro	8	5	2.4643	0.0780	88.3175
OSBS-100-3-No	No	7	5	0.0000	0.0000	4628.6193
OSBS-100-3-Rh	Rh	9	7	0.0000	0.0000	2339.1386
OSBS-100-3-Ro	Ro	7	6	0.0000	0.0000	1327.2877
OSBS-101-1-No	No	3	2	2.0408	0.0822	766.7772
OSBS-101-1-Rh	Rh	13	11	0.0000	0.0000	1313.2088
OSBS-101-1-Ro	Ro	4	3	0.0000	0.0000	2055.8719
OSBS-102-1-No	No	41	16	13.6508	0.2796	188.0723
OSBS-102-1-Rh	Rh	5	4	0.0000	0.0000	3706.1719
OSBS-102-1-Ro	Ro	18	12	6.5799	0.6235	2284.0211
OSBS-103-2-No	No	10	8	0.0000	0.0000	5198.6175
OSBS-103-2-Rh	Rh	7	5	0.0000	0.0000	4207.3561
OSBS-103-2-Ro	Ro	11	8	3.5430	0.2528	4325.7179
OSBS-104-1-No	No	24	21	6.8151	0.7526	7855.8655
OSBS-104-1-Ro	Ro	16	8	1.5833	0.1280	3764.3593
OSBS-106-1-No	No	16	9	2.4291	0.1884	3838.0999
OSBS-106-1-Ro	Ro	25	16	3.8560	0.1449	193.9649
OSBS-107-No	No	29	17	5.5556	0.4103	7323.9641
OSBS-107-Rh	Rh	6	4	0.0000	0.0000	570.8576
OSBS-107-Ro	Ro	19	13	2.1237	0.0585	393.1058
OSBS-109-4-No	No	31	22	4.3398	0.1770	7463.0893
OSBS-109-4-Ro	Ro	11	7	1.4329	0.0503	830.6364
OSBS-110-1-No	No	20	13	5.7857	0.8525	7353.3626
OSBS-25-1-Rh	Rh	14	8	15.8263	0.7681	911.4316
OSBS-25-1-Ro	Ro	5	3	4.2032	0.1605	500.5211
OSBS-28-1-No	No	17	10	9.9473	0.5180	1494.4905
OSBS-28-1-Rh	Rh	16	10	5.4054	0.3852	2379.4558
OSBS-28-1-Ro	Ro	15	9	5.5556	0.2183	1740.9383
OSBS-29-1-Rh	Rh	10	5	3.2419	0.2098	3394.0763
OSBS-29-1-Ro	Ro	7	5	1.3046	0.0261	56.9091
OSBS-30-1-Rh	Rh	14	7	12.0805	0.5057	944.9772
OSBS-30-1-Ro	Ro	1	1	0.0000	0.0000	15.8421
OSBS-31-1-Rh	Rh	5	4	0.0000	0.0000	496.5123
OSBS-31-1-Ro	Ro	0	0	0.0000	0.0000	7.1773
OSBS-46-1-No	No	8	6	0.0000	0.0000	1508.7825
OSBS-46-1-Ro	Ro	23	14	6.2016	0.8379	6248.9737
OSBS-49-1-No	No	24	17	4.2618	0.4076	5824.4859
OSBS-49-1-Rh	Rh	12	7	0.0000	0.0000	2571.9955
OSBS-49-1-Ro	Ro	15	7	3.7138	0.2410	609.2456
OSBS-51-1-No	No	8	5	2.2523	0.0931	253.3042
OSBS-51-1-Rh	Rh	8	5	0.0000	0.0000	2286.1228
OSBS-51-1-Ro	Ro	33	23	2.8070	0.1923	158.7112
OSBS-52-2-No	No	23	13	4.8897	0.4598	7938.8843
OSBS-52-2-Rh	Rh	15	7	11.2069	1.1844	617.2526
OSBS-52-2-Ro	Ro	21	11	5.3947	0.5658	460.8642
OSBS-55-1-No	No	28	17	6.6375	0.6838	6286.5422
OSBS-55-1-Rh	Rh	8	5	3.0702	0.0763	2210.9333
OSBS-55-1-Ro	Ro	18	7	6.0041	0.7117	6117.1333
OSBS-69-1-No	No	41	19	14.0030	2.0824	7064.0459
OSBS-69-1-Rh	Rh	8	3	4.5165	0.1571	3149.1616
OSBS-69-1-Ro	Ro	21	11	9.7365	0.2342	95.5090
OSBS-91-1-No	No	13	7	10.1523	1.1667	2893.8421
OSBS-91-1-Rh	Rh	7	6	7.0707	0.1793	447.9600
OSBS-91-1-Ro	Ro	14	9	5.0926	0.4969	2193.2193
OSBS-95-3-Rh	Rh	5	3	13.0081	0.7667	2403.3193
OSBS-95-3-Ro	Ro	17	10	8.0050	0.7692	5440.4614
OSBS-97-2-Rh	Rh	22	15	8.0675	0.5135	3419.8350
OSBS-97-2-Ro	Ro	6	4	7.1429	0.6010	4603.7193
OSBS-99-No	No	20	11	7.3333	0.2148	586.3125
OSBS-99-Rh	Rh	7	5	0.0000	0.0000	4236.2035
OSBS-99-Ro	Ro	15	13	3.2149	0.1284	97.9140
OSBS-CEVI-50-3-No	No	16	11	4.3398	0.2657	6281.6307
OSBS-CEVI-50-3-Rh	Rh	13	8	3.1092	0.9242	6057.7456
OSBS-CEVI-50-3-Ro	Ro	3	2	0.0000	0.0000	3285.4175
OSBS-DETR-64-3-No	No	11	10	0.0000	0.0000	1464.3035
OSBS-DETR-64-3-Rh	Rh	8	4	0.0000	0.0000	2932.4965
OSBS-DETR-64-3-Ro	Ro	25	21	10.8333	0.6439	686.5386
OSBS-LEHI-62-5-No	No	26	20	8.7527	0.7570	7270.0927
OSBS-LEHI-62-5-Rh	Rh	8	6	2.6694	0.2368	4752.3070
OSBS-LEHI-62-5-Ro	Ro	9	8	1.3149	0.0467	113.3653
OSBS-TEVI-61-4-No	No	20	15	5.9972	0.6212	7409.9966
OSBS-TEVI-61-4-Rh	Rh	12	8	5.5807	0.2616	1473.1895
OSBS-TEVI-61-4-Ro	Ro	1	1	0.0000	0.0000	28.1807
RMNP-1-No	No	37	18	11.3193	1.4504	7484.2509
RMNP-1-Rh	Rh	36	17	16.2720	1.4319	2242.4597
RMNP-1-Ro	Ro	2	2	3.4256	0.1843	89.2632
RMNP-2-No	No	35	17	16.2443	1.1740	7781.4404
RMNP-2-Rh	Rh	50	18	32.3181	2.6599	7852.6070
RMNP-2-Ro	Ro	17	10	8.4249	0.4021	149.0930
RMNP-3-No	No	38	16	23.9778	2.7275	6629.2404
RMNP-3-Rh	Rh	17	9	4.8832	0.2020	2746.8157
RMNP-3-Ro	Ro	25	12	14.9912	1.6800	1354.0460
RMNP-4-No	No	5	4	0.0000	0.0000	1451.7721
RMNP-4-Rh	Rh	11	6	6.1111	0.2399	3342.6195
RMNP-4-Ro	Ro	1	1	1.8868	0.0728	48.7807
RMNP-5-1-No	No	39	14	14.4526	0.5102	7898.1627
RMNP-5-1-Rh	Rh	0	0	0.0000	0.0000	2.5887
RMNP-5-1-Ro	Ro	0	0	0.0000	0.0000	3.1070
SCBI-1-1-Rh	Rh	37	18	7.8947	0.5056	2368.7333
SCBI-1-1-Ro	Ro	22	17	0.0000	0.0000	43.6708
SCBI-10-1-No	No	34	14	16.6275	0.9171	7215.1400
SCBI-10-1-Rh	Rh	15	8	15.6504	1.2105	1285.6000
SCBI-10-1-Ro	Ro	13	7	12.5520	1.2238	1427.0228
SCBI-11-1-No	No	17	11	7.2856	1.3961	7609.1175
SCBI-11-1-Rh	Rh	7	5	3.6630	0.5566	2881.2105
SCBI-11-1-Ro	Ro	14	8	7.3826	0.5769	626.0579
SCBI-12-1-No	No	39	18	14.4393	1.0197	7131.5684
SCBI-12-1-Rh	Rh	15	9	5.6466	0.6255	3371.3812
SCBI-12-1-Ro	Ro	19	15	12.0826	0.6620	1335.1345
SCBI-13-1-No	No	15	9	11.4638	0.8760	6813.0567
SCBI-13-1-Rh	Rh	28	12	29.2829	1.8694	1230.5569
SCBI-13-1-Ro	Ro	13	6	18.7831	0.8627	419.2951
SCBI-2-1-No	No	24	17	0.0000	0.0000	2387.6544
SCBI-2-1-Rh	Rh	25	16	2.4406	0.3728	4899.9596
SCBI-2-1-Ro	Ro	24	14	8.2500	0.6773	4780.3877
SCBI-3-1-No	No	17	7	10.2431	0.9551	6160.0509
SCBI-3-1-Rh	Rh	24	17	1.3858	0.1970	3203.0316
SCBI-3-1-Ro	Ro	38	16	15.7328	1.6440	1582.4211
SCBI-4-1-No	No	19	14	6.0811	0.6710	7436.2554
SCBI-4-1-Rh	Rh	33	17	21.3798	2.5845	6147.9062
SCBI-4-1-Ro	Ro	12	8	5.0439	0.3298	378.9119
SCBI-5-1-No	No	33	14	40.3553	3.0265	7838.3333
SCBI-5-1-Rh	Rh	12	7	15.9106	1.3216	991.9509
SCBI-5-1-Ro	Ro	6	5	9.1633	0.3568	113.8105
SCBI-6-1-No	No	29	17	17.4797	2.6546	7629.3593
SCBI-6-1-Rh	Rh	21	11	20.8627	2.7938	2020.4246
SCBI-6-1-Ro	Ro	32	14	12.4242	0.8167	715.4358
SCBI-7-1-No	No	23	14	7.6459	0.5087	7845.0529
SCBI-7-1-Rh	Rh	19	6	21.3911	2.9393	2343.6993
SCBI-7-1-Ro	Ro	30	16	14.2444	0.9632	710.8442
SCBI-8-2-No	No	19	10	8.7542	0.9812	7367.6343
SCBI-8-2-Rh	Rh	17	13	1.1455	0.0229	2094.0337
SCBI-8-2-Ro	Ro	17	7	18.9675	1.9452	1272.1140
SCBI-9-2-No	No	14	10	4.9479	0.4572	7135.8079
SCBI-9-2-Rh	Rh	27	16	20.5128	2.3714	1683.0293
SCBI-9-2-Ro	Ro	9	6	3.9337	0.2719	179.7811
SERC-1-1-No	No	14	8	4.0860	0.4067	6497.9271
SERC-1-1-Rh	Rh	8	8	0.0000	0.0000	450.9695
SERC-1-1-Ro	Ro	18	8	11.4228	0.9665	3002.8299
SERC-2-1-No	No	20	9	5.0125	0.9249	6879.5810
SERC-2-1-Rh	Rh	12	8	11.6376	0.9954	2747.9509
SERC-2-1-Ro	Ro	8	4	5.8104	0.3472	692.3404
SERC-3-1-Rh	Rh	23	15	9.0090	0.8645	5595.3982
SERC-3-1-Ro	Ro	22	17	4.3011	0.1959	75.9105
SERC-4-1-No	No	26	22	6.7019	1.3985	6889.6520
SERC-4-1-Rh	Rh	29	19	9.7104	1.1193	5216.2404
SERC-4-1-Ro	Ro	12	9	3.2020	0.5720	322.3807
SERC-5-1-No	No	27	21	6.5359	0.5447	7675.0802
SERC-5-1-Rh	Rh	33	22	17.0543	1.5827	866.5698
SERC-5-1-Ro	Ro	9	9	0.0000	0.0000	133.8058
SERC-6-1-No	No	41	23	2.3333	0.0686	7950.2807
SERC-6-1-Rh	Rh	29	22	12.2921	0.9042	6143.3700
SERC-6-1-Ro	Ro	29	21	7.9336	0.4406	391.1702
SERC-7-1-No	No	24	21	5.2910	0.2231	7944.0526
SERC-7-1-Rh	Rh	12	10	0.0000	0.0000	5242.2509
SERC-7-1-Ro	Ro	12	8	3.9124	0.2289	2306.3263
SJER-1-1-No	No	19	10	10.0506	1.3333	7773.7140
SJER-1-1-Rh	Rh	13	7	1.2970	0.0472	3850.6900
SJER-1-1-Ro	Ro	17	10	5.9128	0.2432	301.4491
SJER-2-3-No	No	26	14	12.6537	0.7832	7908.7310
SJER-2-3-Rh	Rh	21	12	8.9202	0.8920	5486.1318
SJER-2-3-Ro	Ro	29	14	17.9775	1.8698	1647.5442
SJER-3-5-No	No	21	13	10.0833	1.4691	7828.5561
SJER-3-5-Rh	Rh	20	11	18.1818	2.3795	5991.2439
SJER-3-5-Ro	Ro	26	13	12.6263	1.0179	1383.4281
SJER-4-1-No	No	10	6	0.0000	0.0000	1174.3492
SJER-4-1-Rh	Rh	29	15	20.8459	2.0832	1700.4368
SJER-4-1-Ro	Ro	23	14	3.2500	0.1091	155.7305
SJER-5-1-No	No	15	8	3.8153	1.1446	7302.3737
SJER-5-1-Rh	Rh	17	11	2.7417	0.0975	2223.2144
SJER-5-1-Ro	Ro	15	8	1.9250	0.0741	438.8298
TALL-10-4-No	No	19	9	2.9664	0.1553	3906.0898
TALL-10-4-Rh	Rh	8	4	0.0000	0.0000	1130.2334
TALL-10-4-Ro	Ro	1	1	0.0000	0.0000	75.7788
TALL-11-1-No	No	17	12	3.2448	0.3319	1941.7877
TALL-11-1-Rh	Rh	2	1	1.3123	0.0633	3191.9140
TALL-11-1-Ro	Ro	3	2	2.4595	0.1743	1891.1386
TALL-12-2-No	No	23	11	7.4176	1.5344	7294.0812
TALL-12-2-Rh	Rh	9	5	0.0000	0.0000	788.2359
TALL-12-2-Ro	Ro	14	8	6.8691	0.5711	5233.7864
TALL-13-3-No	No	36	15	18.7778	1.8534	7842.8826
TALL-13-3-Rh	Rh	18	7	6.4000	0.1770	3498.1943
TALL-13-3-Ro	Ro	14	7	9.0090	0.2841	3336.9731
TALL-14-2-No	No	13	9	2.2959	0.1740	6375.5412
TALL-14-2-Rh	Rh	3	2	1.1642	0.0245	5485.3877
TALL-14-2-Ro	Ro	5	4	0.0000	0.0000	5577.2158
TALL-15-2-No	No	30	13	14.3320	2.7964	7277.5842
TALL-15-2-Rh	Rh	8	7	0.0000	0.0000	1248.1959
TALL-15-2-Ro	Ro	14	7	4.6279	0.1212	85.9754
TALL-16-No	No	20	12	5.7183	0.4704	6739.9953
TALL-16-Rh	Rh	27	12	15.6331	1.7217	2176.8404
TALL-16-Ro	Ro	8	5	2.1825	0.0443	68.3490
TALL-17-2-No	No	32	13	10.1371	2.7887	6763.3752
TALL-17-2-Rh	Rh	27	13	10.5128	1.0424	1066.9807
TALL-17-2-Ro	Ro	3	2	0.0000	0.0000	65.9140
TALL-18-1-No	No	25	16	6.7719	1.1051	6943.2209
TALL-18-1-Rh	Rh	19	7	7.6923	0.5724	3041.7565
TALL-18-1-Ro	Ro	11	8	1.7399	0.0674	1144.6267
TALL-19-2-No	No	32	20	16.2121	0.9875	7337.3739
TALL-19-2-Rh	Rh	3	2	1.2641	0.0289	1779.7561
TALL-19-2-Ro	Ro	6	3	3.2936	0.1946	2628.6789
TALL-2-3-No	No	23	13	12.8440	1.1335	7529.9887
TALL-2-3-Rh	Rh	11	5	10.9880	1.4844	3317.4837
TALL-2-3-Ro	Ro	25	12	14.5914	1.5609	5349.1860
TALL-20-1-No	No	24	16	5.0314	0.7782	7107.6307
TALL-20-1-Rh	Rh	7	4	0.0000	0.0000	1110.2761
TALL-20-1-Ro	Ro	16	8	4.6709	0.2017	1011.9108
TALL-21-2-No	No	18	11	5.4545	0.6039	6375.2715
TALL-21-2-Rh	Rh	8	4	0.0000	0.0000	2105.9360
TALL-21-2-Ro	Ro	23	15	2.7417	0.2794	3065.6267
TALL-22-No	No	18	10	5.0633	0.8734	4599.7989
TALL-22-Rh	Rh	9	5	0.0000	0.0000	3989.7452
TALL-22-Ro	Ro	4	4	0.0000	0.0000	33.3886
TALL-23-2-No	No	16	9	4.5977	0.9307	6390.5772
TALL-23-2-Rh	Rh	8	4	0.0000	0.0000	2395.8829
TALL-23-2-Ro	Ro	15	8	3.9683	0.7600	6171.2841
TALL-24-2-No	No	48	18	8.7683	2.3470	7605.3298
TALL-24-2-Rh	Rh	18	10	5.2083	0.9514	4184.1785
TALL-24-2-Ro	Ro	20	9	9.5960	0.5679	201.2912
TALL-25-2-No	No	42	19	10.3474	4.4818	7283.0685
TALL-25-2-Rh	Rh	24	14	4.1847	0.9322	5368.8377
TALL-25-2-Ro	Ro	30	14	4.1667	0.3393	1030.1281
TALL-26-3-No	No	12	10	6.0942	0.4957	2953.6188
TALL-26-3-Rh	Rh	5	3	2.8961	0.2511	2002.8737
TALL-26-3-Ro	Ro	13	8	8.4388	0.7706	1628.3825
TALL-27-1-No	No	9	7	4.1188	0.3487	3267.3719
TALL-27-1-Rh	Rh	7	5	0.0000	0.0000	5474.8544
TALL-27-1-Ro	Ro	10	6	4.0833	0.2142	1476.3982
TALL-28-1-No	No	41	20	8.0906	0.8001	7139.7492
TALL-28-1-Rh	Rh	12	6	7.2531	0.6874	3054.2702
TALL-28-1-Ro	Ro	32	20	7.4390	0.2327	718.9574
TALL-29-3-No	No	36	19	9.2500	1.0893	7075.2049
TALL-29-3-Rh	Rh	28	15	6.2092	0.9010	4397.9316
TALL-29-3-Ro	Ro	20	11	4.7331	0.1919	484.3807
TALL-30-1-No	No	16	11	5.2778	0.3968	2215.7299
TALL-30-1-Rh	Rh	29	12	15.2091	10.5817	5808.8859
TALL-30-1-Ro	Ro	57	20	34.7193	3.0758	616.9789
TALL-31-1-No	No	20	12	10.9649	1.9919	6719.5882
TALL-31-1-Rh	Rh	10	5	6.4579	1.1908	3555.4246
TALL-31-1-Ro	Ro	13	8	7.2211	0.3056	325.7772
TALL-32-1-No	No	19	9	5.3079	0.3840	4956.3726
TALL-32-1-Rh	Rh	12	6	4.8155	0.3737	3371.1158
TALL-32-1-Ro	Ro	13	6	2.8197	0.1168	457.5742
TALL-33-1-No	No	21	12	15.4079	3.6383	6881.8384
TALL-33-1-Rh	Rh	14	5	3.6458	0.4321	2461.8137
TALL-33-1-Ro	Ro	2	2	0.0000	0.0000	83.4947
TALL-34-1-No	No	19	11	10.0529	1.4896	5648.3632
TALL-34-1-Rh	Rh	33	16	10.3825	3.3671	5223.0220
TALL-34-1-Ro	Ro	9	5	5.5434	0.4112	814.2614
TALL-35-1-No	No	13	8	5.2910	0.3113	4002.8754
TALL-35-1-Rh	Rh	9	6	1.3738	0.0960	4266.6554
TALL-35-1-Ro	Ro	13	6	6.8247	0.5863	1218.7018
TALL-36-1-No	No	11	6	4.9935	0.2682	2650.7969
TALL-36-1-Rh	Rh	7	5	3.9716	0.4341	4166.5961
TALL-36-1-Ro	Ro	16	8	5.0505	0.4004	1296.5961
TALL-37-1-No	No	8	4	0.0000	0.0000	843.2249
TALL-37-1-Rh	Rh	13	7	6.2554	1.1306	4885.8990
TALL-37-1-Ro	Ro	10	5	4.5861	0.2480	191.8982
TALL-38-3-No	No	18	13	4.9345	0.4903	7131.3695
TALL-38-3-Rh	Rh	10	7	5.2516	0.9644	5255.4158
TALL-38-3-Ro	Ro	12	7	1.5317	0.0605	236.0281
TALL-39-2-No	No	19	13	6.1931	0.7849	7137.9135
TALL-39-2-Rh	Rh	2	2	0.0000	0.0000	702.5802
TALL-39-2-Ro	Ro	10	7	2.9831	0.0996	331.9772
TALL-4-1-No	No	13	11	5.9969	0.8920	6886.0173
TALL-40-1-No	No	20	14	4.6709	0.4757	7083.1218
TALL-40-1-Rh	Rh	8	6	5.8081	0.6346	3600.6707
TALL-40-1-Ro	Ro	15	7	3.4440	0.1090	201.0419
TALL-41-3-No	No	20	13	5.6680	0.5545	7703.4621
TALL-41-3-Rh	Rh	11	7	8.7500	0.7778	5055.5246
TALL-41-3-Ro	Ro	7	6	5.7357	0.2213	295.0825
TALL-42-1-No	No	21	12	11.9004	2.2942	7084.4458
TALL-42-1-Rh	Rh	13	7	3.8714	0.5442	3724.3267
TALL-42-1-Ro	Ro	7	3	0.0000	0.0000	93.3139
TALL-5-2-No	No	9	5	20.1012	1.0237	657.6281
TALL-5-2-Rh	Rh	3	3	2.7379	0.2075	530.8807
TALL-5-2-Ro	Ro	47	24	21.9359	0.5034	141.2442
TALL-53-3-No	No	33	21	11.2343	0.7588	7365.8712
TALL-53-3-Ro	Ro	24	19	6.0018	0.2584	590.6341
TALL-55-1-No	No	39	17	26.8293	1.5013	7840.4667
TALL-59-1-No	No	18	12	7.6078	1.1917	7044.6820
TALL-59-1-Rh	Rh	4	4	1.3976	0.1270	5994.6175
TALL-59-1-Ro	Ro	9	5	2.0249	0.0833	381.6228
TALL-6-2-No	No	14	10	3.2864	0.2462	1110.7977
TALL-6-2-Rh	Rh	4	3	0.0000	0.0000	5616.3649
TALL-6-2-Ro	Ro	10	5	5.0265	0.3032	481.2281
TALL-60-1-No	No	39	15	21.9623	1.8601	7838.7121
TALL-60-1-Rh	Rh	7	5	1.7036	0.0846	943.1890
TALL-60-1-Ro	Ro	0	0	0.0000	0.0000	286.6092
TALL-61-2-No	No	5	3	0.0000	0.0000	3984.2488
TALL-61-2-Rh	Rh	0	0	0.0000	0.0000	332.7229
TALL-61-2-Ro	Ro	3	3	0.0000	0.0000	109.9358
TALL-62-1-No	No	17	13	6.5359	0.8643	7447.8463
TALL-62-1-Rh	Rh	3	2	1.3277	0.0781	5425.4123
TALL-62-1-Ro	Ro	6	4	2.1991	0.0763	706.7860
TALL-63-1-No	No	23	14	8.6207	0.8731	7140.9594
TALL-63-1-Rh	Rh	9	4	4.0650	0.2398	1342.0912
TALL-63-1-Ro	Ro	3	2	3.2006	0.1027	76.8456
TALL-64-1-No	No	24	11	25.7634	3.2328	7602.7230
TALL-64-1-Rh	Rh	4	3	4.9927	0.3722	5788.5070
TALL-64-1-Ro	Ro	43	23	18.9147	1.6745	825.6632
TALL-65-1-No	No	25	19	14.1667	1.0859	6728.6927
TALL-65-1-Rh	Rh	22	16	15.6048	1.0257	2523.6035
TALL-65-1-Ro	Ro	20	15	10.1961	0.2111	196.9123
TALL-66-2-No	No	18	11	15.1714	1.6429	6811.3027
TALL-66-2-Rh	Rh	10	7	7.7778	0.4525	3989.0316
TALL-66-2-Ro	Ro	6	4	5.1146	0.2227	235.4000
TALL-67-1-No	No	18	12	10.3535	1.4602	6956.8570
TALL-67-1-Rh	Rh	14	7	5.2224	0.9803	3294.9921
TALL-67-1-Ro	Ro	25	13	26.1438	0.6789	47.5719
TALL-68-2-No	No	31	13	13.8291	5.5755	7122.4770
TALL-68-2-Rh	Rh	25	10	16.9184	1.3032	1990.2421
TALL-68-2-Ro	Ro	13	6	12.8427	0.7350	375.5088
TALL-69-1-No	No	22	11	11.5152	1.8148	4906.9874
TALL-69-1-Rh	Rh	17	9	6.4635	1.2995	5628.7579
TALL-69-1-Ro	Ro	6	4	4.7980	0.1683	304.6632
TALL-7-2-No	No	16	7	3.3275	0.1837	2963.8802
TALL-7-2-Rh	Rh	8	5	1.3950	0.0875	1533.6560
TALL-7-2-Ro	Ro	7	4	1.7399	0.0521	229.9048
TALL-70-1-No	No	27	16	7.5672	0.7273	6839.6327
TALL-70-1-Rh	Rh	22	12	16.3383	1.0676	1293.9965
TALL-70-1-Ro	Ro	2	1	1.3834	0.0424	46.8368
TALL-71-2-No	No	24	16	7.9955	1.3825	5788.4464
TALL-71-2-Rh	Rh	20	12	17.7889	1.8725	4148.6201
TALL-71-2-Ro	Ro	1	1	0.0000	0.0000	83.4307
TALL-72-1-No	No	32	13	38.4615	1.4419	7789.1235
TALL-72-1-Rh	Rh	0	0	0.0000	0.0000	95.2654
TALL-72-1-Ro	Ro	28	12	20.7729	2.4000	6165.3779
TALL-73-2-No	No	14	11	8.6420	0.2483	7919.2700
TALL-73-2-Rh	Rh	14	9	17.8962	1.1104	1627.6088
TALL-73-2-Ro	Ro	1	1	0.0000	0.0000	228.4621
TALL-74-3-No	No	42	20	9.5059	1.9287	7181.4890
TALL-74-3-Rh	Rh	18	11	9.8851	1.9933	6585.2228
TALL-74-3-Ro	Ro	21	14	6.9149	0.3521	262.4192
TALL-75-2-No	No	20	10	11.7571	2.0418	1863.7824
TALL-75-2-Rh	Rh	13	8	5.2083	0.4962	5848.3158
TALL-75-2-Ro	Ro	3	3	0.0000	0.0000	96.5000
TALL-76-3-No	No	20	13	8.7054	1.3535	7257.5316
TALL-76-3-Rh	Rh	17	12	5.8104	0.7670	5976.9912
TALL-76-3-Ro	Ro	11	8	4.5819	0.3810	1254.0404
TALL-78-2-No	No	18	11	11.1335	1.5398	7087.0286
TALL-78-2-Rh	Rh	7	4	4.0573	0.2079	5859.2491
TALL-78-2-Ro	Ro	3	2	0.0000	0.0000	110.9018
TALL-79-1-No	No	23	18	7.9612	1.3660	7184.7718
TALL-79-1-Rh	Rh	33	21	2.2155	0.0803	5470.8281
TALL-79-1-Ro	Ro	10	6	4.8917	0.3256	4621.0333
TALL-8-2-No	No	23	12	8.0183	0.3874	7940.8973
TALL-8-2-Rh	Rh	18	8	1.8171	0.0582	3153.5768
TALL-8-2-Ro	Ro	25	9	10.1911	0.7944	1423.9248
TALL-80-1-No	No	12	7	11.1675	0.7071	5887.8070
TALL-80-1-Rh	Rh	10	6	1.2692	0.0462	5014.1053
TALL-80-1-Ro	Ro	8	4	3.9920	0.2732	5532.9526
TALL-81-1-Rh	Rh	12	6	3.6316	1.3717	3302.3838
TALL-81-1-Ro	Ro	4	3	0.0000	0.0000	406.5174
TALL-82-1-No	No	8	6	10.2285	0.1569	192.9864
TALL-82-1-Rh	Rh	12	7	14.6417	1.6364	1824.2070
TALL-82-1-Ro	Ro	6	3	3.2149	0.2410	817.8216
TALL-83-2-No	No	21	10	8.7719	1.1063	7835.5880
TALL-83-2-Rh	Rh	7	4	3.9375	1.0920	2271.0247
TALL-83-2-Ro	Ro	0	0	1.1685	0.0202	95.9520
TALL-84-1-No	No	12	11	6.7599	0.2290	7944.1513
TALL-84-1-Rh	Rh	11	7	5.5556	0.7154	4446.0060
TALL-84-1-Ro	Ro	3	3	0.0000	0.0000	122.3560
TALL-85-1-No	No	7	4	1.2845	0.0238	181.1053
TALL-85-1-Rh	Rh	15	7	14.8352	1.5639	2249.4947
TALL-85-1-Ro	Ro	8	6	0.0000	0.0000	238.5877
TALL-86-1-No	No	16	10	8.8768	1.6108	7084.2861
TALL-86-1-Rh	Rh	20	16	8.0963	2.3774	6405.7312
TALL-86-1-Ro	Ro	14	6	4.9603	0.6238	340.5526
TALL-87-3-No	No	21	13	5.0973	0.7938	7325.3686
TALL-87-3-Rh	Rh	10	5	2.9321	0.4281	2062.4781
TALL-87-3-Ro	Ro	11	4	4.0527	0.2294	277.5684
TALL-88-1-No	No	24	15	10.6029	2.6114	7158.6307
TALL-88-1-Rh	Rh	7	3	0.0000	0.0000	3211.2985
TALL-88-1-Ro	Ro	14	8	6.8182	0.7492	1730.1790
TALL-89-1-No	No	49	26	13.0787	5.2005	7142.3792
TALL-89-1-Rh	Rh	10	5	2.2803	0.3539	2343.5702
TALL-89-1-Ro	Ro	8	4	4.3103	0.3365	395.8667
