sample	sample_group	good_target_regions	good_genes	median_percent_covered	median_mean_depth	max_mean_depth
JERC-139-5-No	No	11	8	4.6620	0.2334	403.1975
JERC-139-5-Rh	Rh	5	4	0.0000	0.0000	1357.5443
JERC-139-5-Ro	Ro	9	7	3.8596	0.1802	751.9965
JERC-140-No	No	20	10	9.4586	0.9639	999.2346
JERC-140-Rh	Rh	8	4	16.3522	0.4867	2871.8053
JERC-140-Ro	Ro	14	7	8.1496	0.4699	2921.5474
JERC-141-No	No	14	12	5.8772	0.4057	2652.1367
JERC-141-Rh	Rh	11	7	6.3166	0.3180	3641.1193
JERC-141-Ro	Ro	4	4	0.0000	0.0000	16.1521
JERC-142-No	No	4	3	6.0018	0.2040	111.7972
JERC-142-Rh	Rh	7	3	4.9383	0.2713	1885.5158
JERC-143-No	No	23	15	8.5453	1.7517	7319.2821
JERC-143-Rh	Rh	3	3	0.0000	0.0000	136.5587
JERC-143-Ro	Ro	11	6	4.9180	0.3604	371.6140
JERC-147-Rh	Rh	8	8	0.0000	0.0000	23.5772
JERC-147-Ro	Ro	6	3	2.5384	0.1416	2780.1140
JERC-148-No	No	16	8	7.7369	1.2063	4481.3041
JERC-148-Rh	Rh	14	8	3.7395	0.1497	2311.1337
JERC-148-Ro	Ro	12	9	1.3578	0.0543	1096.3859
JERC-149-No	No	16	9	9.5524	1.7837	2750.2761
JERC-149-Rh	Rh	14	7	8.7683	0.5536	3661.4368
JERC-149-Ro	Ro	25	14	3.4921	0.2474	367.6439
JERC-150-No	No	19	15	5.7122	0.4082	7062.3826
JERC-150-Rh	Rh	19	12	3.7406	0.2000	2246.1140
JERC-150-Ro	Ro	21	13	3.0016	0.1429	1068.3526
JERC-151-No	No	25	18	9.9788	0.9200	1191.8561
JERC-151-Rh	Rh	20	11	6.9767	0.5352	1394.9105
JERC-151-Ro	Ro	16	8	3.1299	0.1279	122.4386
JERC-152-No	No	9	4	6.3786	0.4770	1136.2698
JERC-152-Rh	Rh	16	8	4.7341	0.3693	1425.3632
JERC-152-Ro	Ro	5	3	3.4072	0.2116	2289.7789
JERC-153-No	No	30	15	14.0152	0.9140	7395.4825
JERC-153-Rh	Rh	16	12	3.3419	0.2559	4885.3421
JERC-176-5-No	No	50	23	10.2872	2.1727	7847.8565
JERC-176-5-Rh	Rh	3	3	0.0000	0.0000	281.6940
JERC-176-5-Ro	Ro	19	14	4.7917	0.2257	629.6842
JERC-179-4-No	No	5	4	0.0000	0.0000	65.6456
JERC-179-4-Rh	Rh	13	8	3.3333	0.3725	5167.4439
JERC-179-4-Ro	Ro	23	12	2.2031	0.0597	207.9263
JERC-180-5-No	No	22	14	11.1872	1.6134	7247.8417
JERC-180-5-Rh	Rh	10	7	2.7717	0.2621	6015.7807
JERC-180-5-Ro	Ro	8	6	3.2646	0.3076	1111.7325
JERC-181-1-No	No	21	14	6.1303	0.6288	7151.1038
JERC-181-1-Rh	Rh	14	8	3.9583	0.5777	6429.7474
JERC-181-1-Ro	Ro	1	1	0.0000	0.0000	291.2439
JERC-183-3-No	No	24	10	10.9551	1.9457	4916.5123
JERC-183-3-Rh	Rh	15	8	5.3763	0.7517	5947.8263
JERC-183-3-Ro	Ro	15	8	9.4718	0.8228	3836.1281
JERC-184-3-No	No	13	7	3.0702	0.2062	3798.3506
JERC-184-3-Rh	Rh	13	8	7.5450	0.7316	5712.0193
JERC-184-3-Ro	Ro	8	5	4.5654	0.2836	1047.1737
JERC-185-3-No	No	14	8	4.2194	0.2107	4142.2807
JERC-185-3-Rh	Rh	13	8	1.6625	0.0889	5506.4035
JERC-185-3-Ro	Ro	10	4	0.0000	0.0000	2491.9147
JERC-186-1-No	No	19	11	7.9689	1.0110	5409.7179
JERC-186-1-Rh	Rh	8	5	0.0000	0.0000	5497.1526
JERC-186-1-Ro	Ro	15	8	5.7315	0.5553	2197.5982
JERC-187-1-No	No	21	16	0.0000	0.0000	1402.5158
JERC-187-1-Rh	Rh	10	6	3.0864	0.3470	5409.0596
JERC-187-1-Ro	Ro	19	10	9.3183	0.5813	2753.0246
JERC-188-1-No	No	11	6	3.6458	0.2917	6299.6561
JERC-188-1-Rh	Rh	4	3	0.0000	0.0000	925.8519
JERC-188-1-Ro	Ro	14	8	2.5690	0.1008	958.4386
JERC-192-1-No	No	13	8	3.6729	0.4273	5646.3035
JERC-192-1-Rh	Rh	10	8	1.4832	0.0713	3981.0346
JERC-192-1-Ro	Ro	9	7	6.4012	0.5473	6206.0073
JERC-194-2-No	No	19	11	4.8193	0.5472	6899.4112
JERC-194-2-Rh	Rh	9	6	1.5361	0.0557	2913.1929
JERC-194-2-Ro	Ro	9	6	1.2394	0.0467	85.3877
JERC-195-2-No	No	21	13	7.0175	0.4435	7078.2987
JERC-195-2-Rh	Rh	11	8	5.9443	0.4433	3330.7299
JERC-195-2-Ro	Ro	17	10	7.7441	0.4911	2142.8544
JERC-196-3-No	No	16	9	6.4220	0.7625	2363.0958
JERC-196-3-Rh	Rh	21	15	10.7456	0.7292	2375.1404
JERC-196-3-Ro	Ro	12	7	2.9321	0.1368	301.4140
JERC-197-1-No	No	8	3	1.9809	0.1851	1508.8204
JERC-197-1-Ro	Ro	9	5	3.6374	0.1539	159.8543
JERC-198-No	No	30	20	6.5292	0.4776	7791.1412
JERC-198-Ro	Ro	23	12	6.2980	1.2315	4324.0093
JERC-199-No	No	34	20	12.7260	1.6275	5180.1091
JERC-199-Rh	Rh	23	18	2.5200	0.0805	3629.6456
JERC-199-Ro	Ro	29	19	3.7578	0.1153	130.8754
JERC-201-1-No	No	29	19	6.0606	0.4906	7348.4770
JERC-201-1-Rh	Rh	10	7	2.8011	0.2469	6112.1140
JERC-201-1-Ro	Ro	12	5	4.5861	0.3171	1165.8509
JERC-202-1-No	No	31	19	6.4619	0.5051	1584.4719
