gene	in_summary_all_genes	in_genes_sheet_reconciled	keep_yes	in_taxon_fastas_by_gene	taxon_file
nifT	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nifT.fa.aln
nifU	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nifU.fa.aln
nifV	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nifV.fa.aln
nifW	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nifW.fa.aln
nifX	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nifX.fa.aln
nifY	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nifY.fa.aln
nifZ	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nifZ.fa.aln
nodA	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nodA.fa.aln
nodB	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nodB.fa.aln
nodC	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nodC.fa.aln
nodD	True	True	True	True	/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/reference/taxon_fastas_by_gene/nodD.fa.aln
