source_file	source_file_name	tree_set	gene	sample_id	closest_taxon	closest_genus	best_reference_id	best_reference_taxon	percent_identity	alignment_length	query_coverage_percent	evalue	bitscore	best_reference_genus	tree_set_label
/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	CLBJ-10-1-No|nifD|consensus50|pass_mixed_possible_multitemplate	Microvirga_sp._RSM25	Microvirga	nifD|Microvirga_sp._RSM25|XKE00371.1	Microvirga_sp._RSM25	85.986	1313	85.705	0	1454	Microvirga	Mixed-IUPAC
/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	CLBJ-10-1-Rh|nifD|consensus50|pass_mixed_possible_multitemplate	Microvirga_sp._KLBC_81	Microvirga	nifD|Microvirga_sp._KLBC_81|PVE21500.1	Microvirga_sp._KLBC_81	86.28	1312	85.6397	0	1485	Microvirga	Mixed-IUPAC
/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	CLBJ-11-1-No|nifD|consensus50|pass_mixed_possible_multitemplate	Microvirga_sp._RSM25	Microvirga	nifD|Microvirga_sp._RSM25|XKE00371.1	Microvirga_sp._RSM25	86.893	1297	84.6606	0	1616	Microvirga	Mixed-IUPAC
/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	CLBJ-12-2-No|nifD|consensus50|pass_mixed_possible_multitemplate	Mesorhizobium_sp._AaZ16	Mesorhizobium	nifD|Mesorhizobium_sp._AaZ16|XIK06012.1	Mesorhizobium_sp._AaZ16	87.232	1308	85.3786	0	1688	Mesorhizobium	Mixed-IUPAC
/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	CLBJ-12-2-Ro|nifD|consensus50|pass_mixed_possible_multitemplate	Mesorhizobium_sp._WSM4083	Mesorhizobium	nifD|Mesorhizobium_sp._WSM4083|XXN81637.1	Mesorhizobium_sp._WSM4083	85.548	1287	84.0078	0	1424	Mesorhizobium	Mixed-IUPAC
/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	CLBJ-13-1-No|nifD|consensus50|pass_mixed_possible_multitemplate	Mesorhizobium_sp._AaZ16	Mesorhizobium	nifD|Mesorhizobium_sp._AaZ16|XIK06012.1	Mesorhizobium_sp._AaZ16	86.423	1311	85.5744	0	1644	Mesorhizobium	Mixed-IUPAC
/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	CLBJ-13-1-Rh|nifD|consensus50|pass_mixed_possible_multitemplate	Mesorhizobium_sp._AaZ16	Mesorhizobium	nifD|Mesorhizobium_sp._AaZ16|XIK06012.1	Mesorhizobium_sp._AaZ16	89.802	1314	85.7702	0	1844	Mesorhizobium	Mixed-IUPAC
/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	CLBJ-13-1-Ro|nifD|consensus50|pass_mixed_possible_multitemplate	Mesorhizobium_sp._AaZ16	Mesorhizobium	nifD|Mesorhizobium_sp._AaZ16|XIK06012.1	Mesorhizobium_sp._AaZ16	88.253	1311	85.5744	0	1770	Mesorhizobium	Mixed-IUPAC
/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	CLBJ-14-1-No|nifD|consensus50|pass_single_dominant	Mesorhizobium_sp._WSM2240	Mesorhizobium	nifD|Mesorhizobium_sp._WSM2240|XCG49716.1	Mesorhizobium_sp._WSM2240	89.397	1311	85.5744	0	1672	Mesorhizobium	Mixed-IUPAC
/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	CLBJ-14-1-Rh|nifD|consensus50|pass_mixed_possible_multitemplate	Mesorhizobium_sp._WSM2240	Mesorhizobium	nifD|Mesorhizobium_sp._WSM2240|XCG49716.1	Mesorhizobium_sp._WSM2240	87.129	1282	83.6815	0	1541	Mesorhizobium	Mixed-IUPAC
/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	CLBJ-15-1-No|nifD|consensus50|pass_mixed_possible_multitemplate	Mesorhizobium_sp._AaZ16	Mesorhizobium	nifD|Mesorhizobium_sp._AaZ16|XIK06012.1	Mesorhizobium_sp._AaZ16	84.375	1312	85.6397	0	1417	Mesorhizobium	Mixed-IUPAC
/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	CLBJ-15-1-Rh|nifD|consensus50|pass_mixed_possible_multitemplate	Microvirga_sp._KLBC_81	Microvirga	nifD|Microvirga_sp._KLBC_81|PVE21500.1	Microvirga_sp._KLBC_81	82.399	767	50.0653	0	763	Microvirga	Mixed-IUPAC
/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	CLBJ-15-1-Ro|nifD|consensus50|pass_mixed_possible_multitemplate	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP23188.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	86.621	1308	85.3786	0	1607	Sinorhizobium	Mixed-IUPAC
/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	CLBJ-16-2-No|nifD|consensus50|pass_mixed_possible_multitemplate	Microvirga_lotononidis	Microvirga	nifD|Microvirga_lotononidis|WQO30063.1	Microvirga_lotononidis	82.914	1311	85.5744	0	1389	Microvirga	Mixed-IUPAC
/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	CLBJ-16-2-Rh|nifD|consensus50|pass_mixed_possible_multitemplate	Microvirga_lotononidis	Microvirga	nifD|Microvirga_lotononidis|WQO30063.1	Microvirga_lotononidis	83.988	1299	84.7911	0	1408	Microvirga	Mixed-IUPAC
/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	CLBJ-16-2-Ro|nifD|consensus50|pass_mixed_possible_multitemplate	Microvirga_sp._KLBC_81	Microvirga	nifD|Microvirga_sp._KLBC_81|PVE21500.1	Microvirga_sp._KLBC_81	85.954	1310	85.5091	0	1474	Microvirga	Mixed-IUPAC
/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	CLBJ-17-1-No|nifD|consensus50|pass_mixed_possible_multitemplate	Microvirga_sp._RSM25	Microvirga	nifD|Microvirga_sp._RSM25|XKE00371.1	Microvirga_sp._RSM25	84.703	1314	85.7702	0	1548	Microvirga	Mixed-IUPAC
/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	CLBJ-17-1-Ro|nifD|consensus50|pass_mixed_possible_multitemplate	Microvirga_sp._KLBC_81	Microvirga	nifD|Microvirga_sp._KLBC_81|PVE21500.1	Microvirga_sp._KLBC_81	86.9	1313	85.705	0	1587	Microvirga	Mixed-IUPAC
/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	CLBJ-18-1-No|nifD|consensus50|pass_mixed_possible_multitemplate	Mesorhizobium_sp._AaZ16	Mesorhizobium	nifD|Mesorhizobium_sp._AaZ16|XIK06012.1	Mesorhizobium_sp._AaZ16	88.635	1311	85.5744	0	1687	Mesorhizobium	Mixed-IUPAC
/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	CLBJ-18-1-Rh|nifD|consensus50|pass_mixed_possible_multitemplate	Sinorhizobium_meliloti_(Rhizobium_meliloti)	Sinorhizobium	nifD|Sinorhizobium_meliloti_(Rhizobium_meliloti)|WQP23188.1	Sinorhizobium_meliloti_(Rhizobium_meliloti)	84.133	1292	84.3342	0	1517	Sinorhizobium	Mixed-IUPAC
/Users/rosa/Desktop/ALLWork/Madison/Project/ryan-nitfix/intbio-nitfix-git/symbiosis_sorted_all_sample_consensus_sequences_50percent/result/gene_trees_full/nifD/05_blast_taxon_annotation/nifD_iupac_best_reference_hit_with_taxon.tsv	nifD_iupac_best_reference_hit_with_taxon.tsv	iupac	nifD	CLBJ-18-1-Ro|nifD|consensus50|pass_mixed_possible_multitemplate	Microvirga_lotononidis	Microvirga	nifD|Microvirga_lotononidis|WQO30063.1	Microvirga_lotononidis	83.41	1296	84.5953	0	1489	Microvirga	Mixed-IUPAC
