gene	tree_set	tree_set_label	label_type	label_type_report	label_value	expected_ntaxa	ntaxa	ntaxa_matches_expected	mpd	mpd_random	mpd_sd	nri	p_mpd_cluster	fdr_mpd	mntd	mntd_random	mntd_sd	nti	p_mntd_cluster	fdr_mntd	randomizations	min_group_size	phylocom_status	interpretation
nifD	iupac	Mixed-IUPAC	host_tribe	Host tribe	Glycininae	13	13	TRUE	0.2952	0.2974	0.037	0.0594	0.474	0.654	0.0889	0.1319	0.0227	1.8997	0.022	0.05576744186046512	999	5	ok	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_tribe	Host tribe	Robinieae	10	10	TRUE	0.3102	0.3024	0.0461	-0.1696	0.585	0.741453488372093	0.0844	0.1451	0.029	2.0946	0.011	0.0324054054054054	999	5	ok	significant clustering by MNTD
nifD	iupac	Mixed-IUPAC	host_tribe	Host tribe	actinorhizal	192	192	TRUE	0.3092	0.3056	0.0089	-0.4012	0.654	0.7833626373626373	0.0559	0.0557	0.0029	-0.0514	0.522	0.7024444444444444	999	5	ok	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_tribe	Host tribe	Genisteae	65	65	TRUE	0.3094	0.2992	0.0169	-0.6035	0.723	0.8158144329896907	0.0573	0.0801	0.0071	3.2079	0.001	0.004541666666666667	999	5	ok	significant clustering by MNTD
nifD	iupac	Mixed-IUPAC	native_status	Native status	yes	1179	1179	TRUE	0.2946	0.2984	0.0017	2.3035	0.014	0.05366666666666667	0.0307	0.0315	3e-4	2.2549	0.011	0.05059999999999999	999	5	ok	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	native_status	Native status	0	14	14	TRUE	0.257	0.3085	0.0357	1.4423	0.067	0.22014285714285714	0.1378	0.1297	0.0229	-0.355	0.657	0.7953157894736842	999	5	ok	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	native_status	Native status	no	257	257	TRUE	0.306	0.3051	0.0072	-0.1193	0.551	0.7847058823529411	0.0435	0.0506	0.0022	3.2248	0.002	0.015333333333333334	999	5	ok	significant clustering by MNTD
nifD	iupac	Mixed-IUPAC	sample_type	Sample type	rhizosphere	471	471	TRUE	0.2477	0.2952	0.0052	9.1693	0.001	0.0075	0.0405	0.0422	0.0013	1.3236	0.089	0.24818181818181817	999	5	ok	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	sample_type	Sample type	root	451	451	TRUE	0.2725	0.3027	0.0053	5.7392	0.001	0.0075	0.04	0.0433	0.0013	2.4475	0.006	0.036000000000000004	999	5	ok	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	sample_type	Sample type	nodule	529	529	TRUE	0.3604	0.3007	0.0046	-13.1037	1	1	0.037	0.0399	0.0012	2.3905	0.01	0.04285714285714286	999	5	ok	significant clustering by MNTD
