gene	tree_set	tree_set_label	label_type	label_type_report	phylocom_status	p_mpd_cluster	p_mntd_cluster	ntaxa_matches_expected	plot	ntaxa	mpd	mpd_rnd	mpd_sd	nri	mpd_ranklow	mpd_rankhi	mntd	mntd_rnd	mntd_sd	nti	mntd_ranklo	mntd_rankhi	runs	label_value	expected_ntaxa	fdr_mpd	fdr_mntd	interpretation	mpd_random	mntd_random
noeB	strict	Strict single-dominant	host_genus	Host genus	ok	0.008	0.174	TRUE	host_genus_desmodium	7	0.0063	0.0159	0.0055	1.7627	992	7	0.0032	0.0057	0.003	0.8556	826	173	999	Desmodium	7	0.032	0.380625	significant clustering by MPD	NA	NA
noeB	strict	Strict single-dominant	host_genus	Host genus	ok	0.313	0.342	TRUE	host_genus_elaeagnus	5	0.0125	0.0157	0.0063	0.5062	687	312	0.0052	0.0069	0.0038	0.442	658	341	999	Elaeagnus	5	0.4979545454545454	0.5700000000000001	not significant / weak evidence	NA	NA
noeB	strict	Strict single-dominant	host_genus	Host genus	ok	0.138	0.048	TRUE	host_genus_lespedeza	7	0.0103	0.0157	0.0053	1.0174	862	137	0.0018	0.0055	0.0029	1.3127	952	47	999	Lespedeza	7	0.2542105263157895	0.15590909090909091	not significant / weak evidence	NA	NA
noeB	strict	Strict single-dominant	host_genus	Host genus	ok	0.991	0.935	TRUE	host_genus_medicago	37	0.0203	0.016	0.0018	-2.3444	9	990	0.0043	0.0029	8e-4	-1.72	65	934	999	Medicago	37	1	0.9727407407407407	not significant / weak evidence	NA	NA
noeB	strict	Strict single-dominant	host_genus	Host genus	ok	0.001	0.004	TRUE	host_genus_melilotus	21	0.008	0.0162	0.0028	2.8906	999	0	0.0011	0.0035	0.0013	1.8942	996	3	999	Melilotus	21	0.005833333333333333	0.02074074074074074	significant clustering by MPD	NA	NA
noeB	strict	Strict single-dominant	host_genus	Host genus	ok	0.025	0.236	TRUE	host_genus_oxytropis	5	0.007	0.0161	0.0063	1.4447	975	24	0.0046	0.0072	0.0038	0.6871	764	235	999	Oxytropis	5	0.07954545454545454	0.45888888888888885	not significant / weak evidence	NA	NA
noeB	strict	Strict single-dominant	host_tribe	Host tribe	ok	0.095	0.117	TRUE	host_tribe_actinorhizal	9	0.0111	0.017	0.0049	1.1886	905	94	0.0027	0.0052	0.0025	1.0358	883	116	999	actinorhizal	9	0.2247560975609756	0.3175714285714286	not significant / weak evidence	NA	NA
noeB	strict	Strict single-dominant	host_tribe	Host tribe	ok	0.623	0.627	TRUE	host_tribe_amorpheae	10	0.0168	0.0162	0.0044	-0.1521	377	622	0.005	0.0047	0.0022	-0.1136	373	626	999	Amorpheae	10	0.8328767123287673	0.8049324324324324	not significant / weak evidence	NA	NA
noeB	strict	Strict single-dominant	host_tribe	Host tribe	ok	0.006	0.023	TRUE	host_tribe_desmodieae	15	0.0087	0.0157	0.0034	2.0326	994	5	0.0015	0.0038	0.0016	1.4084	977	22	999	Desmodieae	15	0.0285	0.09931818181818182	significant clustering by MPD	NA	NA
noeB	strict	Strict single-dominant	host_tribe	Host tribe	ok	0.801	0.106	TRUE	host_tribe_galegeae	28	0.0173	0.0155	0.0023	-0.79990000000000006	199	800	0.002	0.003	0.001	1.0524	894	105	999	Galegeae	28	0.9190963855421688	0.3129411764705882	not significant / weak evidence	NA	NA
