gene	tree_set	tree_set_label	label_type	label_value	ntaxa	mpd	mpd_random	nri	p_mpd_cluster	fdr_mpd	mntd	mntd_random	nti	p_mntd_cluster	fdr_mntd	interpretation	best_nri_for_label	label_rank
nifK	strict	Strict single-dominant	closest_blast_genus	Microvirga	62	0.1788	0.3362	11.7235	0.001	0.0023636363636363638	0.049	0.0664	2.8423	0.002	0.006500000000000001	significant clustering by MPD	11.7235	3
nifK	strict	Strict single-dominant	closest_blast_genus	Sinorhizobium	180	0.217	0.3333	18.4884	0.001	0.0023636363636363638	0.0452	0.0472	0.891	0.186	0.2844705882352941	significant clustering by MPD	18.4884	1
nifK	strict	Strict single-dominant	closest_blast_genus	Rhizobium	48	0.4353	0.3333	-6.4494	1	1	0.0409	0.0728	4.1885	0.001	0.006500000000000001	significant clustering by MNTD	0.0045	8
nodL	strict	Strict single-dominant	closest_blast_genus	Sinorhizobium	196	0.0402	0.0679	13.2428	0.001	0.0023636363636363638	0.0052	0.0059	2.1084	0.038	0.076	significant clustering by MPD	18.4884	1
nodL	strict	Strict single-dominant	closest_blast_genus	Rhizobium	20	0.1095	0.0592	-2.3214	0.984	1	0.0155	0.0157	0.0217	0.529	0.7238947368421054	not significant / weak evidence	0.0045	8
nodX	strict	Strict single-dominant	closest_blast_genus	Rhizobium	129	0.0418	0.0418	-1.9572	0.977	1	0.0018	0.0018	0.9995	1	1	not significant / weak evidence	0.0045	8
noeA	strict	Strict single-dominant	closest_blast_genus	Sinorhizobium	192	0.0047	0.0047	-2.397	0.988	1	4e-4	4e-4	0.9995	1	1	not significant / weak evidence	18.4884	1
noeB	strict	Strict single-dominant	closest_blast_genus	Sinorhizobium	132	0.0155	0.0155	6.3464	0.001	0.0023636363636363638	0.002	0.002	-0.9995	1	1	significant clustering by MPD	18.4884	1
nolF	strict	Strict single-dominant	closest_blast_genus	Sinorhizobium	208	0.0072	0.0072	1.3325	0.103	0.167375	8e-4	8e-4	-0.9995	1	1	not significant / weak evidence	18.4884	1
nolG	strict	Strict single-dominant	closest_blast_genus	Sinorhizobium	201	0.0086	0.0086	4.4362	0.001	0.0023636363636363638	9e-4	9e-4	-0.9995	1	1	significant clustering by MPD	18.4884	1
