gene	tree_set	tree_set_label	label_type	label_value	ntaxa	mpd	mpd_random	nri	p_mpd_cluster	fdr_mpd	mntd	mntd_random	nti	p_mntd_cluster	fdr_mntd	interpretation
nifD	iupac	Mixed-IUPAC	host_genus	Elaeagnus	23	0.2761	0.2943	0.6263	0.264	0.4099512195121951	0.1089	0.1089	-0.0014	0.513	0.6711164383561643	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_genus	Lespedeza	125	0.2931	0.2974	0.366	0.36	0.5289230769230769	0.0567	0.0646	1.9221	0.02	0.05617647058823529	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_genus	Amphicarpaea	19	0.3006	0.3054	0.1581	0.445	0.6204014598540146	0.1133	0.1173	0.2132	0.439	0.5904859154929577	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_genus	Tephrosia	43	0.3008	0.3029	0.1019	0.457	0.6279640287769784	0.0959	0.0905	-0.5641	0.719	0.8078176470588235	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_genus	Glycine	13	0.2952	0.2955	0.006	0.523	0.6841986301369862	0.0889	0.1295	1.6498	0.047	0.10561176470588235	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_genus	Chapmannia	8	0.3078	0.2995	-0.1743	0.568	0.7281073825503356	0.1826	0.1542	-0.8153	0.778	0.8443068181818182	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_genus	Lupinus	65	0.3094	0.3	-0.5703	0.712	0.8607088607594936	0.0573	0.08	3.1847	0.002	0.008304347826086958	significant clustering by MNTD
nifD	iupac	Mixed-IUPAC	host_genus	Centrosema	10	0.3461	0.2986	-1.0965	0.866	0.9798639053254438	0.1625	0.1406	-0.7215	0.775	0.8443068181818182	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_genus	Alnus	68	0.3318	0.3058	-1.7183	0.954	1	0.0677	0.0766	1.2507	0.101	0.18729126213592234	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_genus	Kummerowia	6	0.3819	0.2942	-1.4335	0.926	1	0.2013	0.1705	-0.7134	0.772	0.8443068181818182	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_genus	Trifolium	16	0.356	0.3017	-1.5814	0.938	1	0.0873	0.123	1.7347	0.035	0.08796052631578948	not significant / weak evidence
nifD	iupac	Mixed-IUPAC	host_tribe	Crotalarieae	62	0.2255	0.2964	4.6064	0.001	0.006055555555555555	0.0666	0.0789	1.7415	0.041	0.089380000000000015	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	host_tribe	Galegeae	145	0.203	0.2967	8.4448	0.001	0.006055555555555555	0.0314	0.0619	8.2446	0.001	0.00545	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	host_tribe	Indigofereae	14	0.1652	0.299	3.3948	0.001	0.006055555555555555	0.0896	0.1294	1.6449	0.047	0.10045098039215686	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	host_tribe	Loteae	30	0.1178	0.3007	7.4368	0.001	0.006055555555555555	0.0313	0.1017	5.5407	0.001	0.00545	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	host_tribe	Trifolieae	107	0.2198	0.303	6.8108	0.001	0.006055555555555555	0.0351	0.0684	7.2566	0.001	0.00545	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	host_tribe	Diocleae	47	0.2293	0.2938	3.1825	0.002	0.009083333333333334	0.0706	0.0872	1.8256	0.031	0.07345652173913043	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	host_tribe	Fabeae	22	0.2038	0.2953	2.9982	0.002	0.009083333333333334	0.0485	0.1101	3.713	0.001	0.00545	significant clustering by MPD
nifD	iupac	Mixed-IUPAC	host_tribe	Amorpheae	78	0.264	0.3031	2.6984	0.004	0.014064516129032258	0.041	0.0738	5.3462	0.001	0.00545	significant clustering by MPD
