tree_set	tree_set_label	gene	closest_genus_report	n	gene_total	percent	phylocom_ntaxa	expected_ntaxa	ntaxa_matches_expected	n_matches_phylocom_ntaxa	n_matches_expected_ntaxa
strict	Strict single-dominant	nifD	Sinorhizobium	88	348	25.28735632183908	88	88	TRUE	TRUE	TRUE
strict	Strict single-dominant	nifD	Rhizobium	19	348	5.459770114942529	19	19	TRUE	TRUE	TRUE
strict	Strict single-dominant	nifD	Azorhizobium	16	348	4.597701149425287	16	16	TRUE	TRUE	TRUE
strict	Strict single-dominant	nifD	Bradyrhizobium	6	348	1.7241379310344827	6	6	TRUE	TRUE	TRUE
strict	Strict single-dominant	nifH	Mesorhizobium	190	387	49.09560723514212	190	190	TRUE	TRUE	TRUE
strict	Strict single-dominant	nifH	Microvirga	51	387	13.178294573643411	51	51	TRUE	TRUE	TRUE
strict	Strict single-dominant	nifH	Bradyrhizobium	43	387	11.11111111111111	43	43	TRUE	TRUE	TRUE
strict	Strict single-dominant	nifH	Sinorhizobium	42	387	10.852713178294573	42	42	TRUE	TRUE	TRUE
strict	Strict single-dominant	nifH	Rhizobium	34	387	8.785529715762275	34	34	TRUE	TRUE	TRUE
strict	Strict single-dominant	nifH	Neorhizobium	17	387	4.392764857881137	17	17	TRUE	TRUE	TRUE
strict	Strict single-dominant	nifH	Burkholderia	5	387	1.2919896640826873	5	5	TRUE	TRUE	TRUE
strict	Strict single-dominant	nifH	Ensifer	5	387	1.2919896640826873	5	5	TRUE	TRUE	TRUE
strict	Strict single-dominant	nifJ	Candidatus	181	181	100	181	181	TRUE	TRUE	TRUE
strict	Strict single-dominant	nifK	Sinorhizobium	180	455	39.56043956043956	180	180	TRUE	TRUE	TRUE
strict	Strict single-dominant	nifK	Mesorhizobium	165	455	36.26373626373626	165	165	TRUE	TRUE	TRUE
strict	Strict single-dominant	nifK	Microvirga	62	455	13.626373626373626	62	62	TRUE	TRUE	TRUE
strict	Strict single-dominant	nifK	Rhizobium	48	455	10.54945054945055	48	48	TRUE	TRUE	TRUE
strict	Strict single-dominant	nodL	Sinorhizobium	196	216	90.74074074074075	196	196	TRUE	TRUE	TRUE
strict	Strict single-dominant	nodL	Rhizobium	20	216	9.25925925925926	20	20	TRUE	TRUE	TRUE
strict	Strict single-dominant	nodX	Rhizobium	129	129	100	129	129	TRUE	TRUE	TRUE
strict	Strict single-dominant	noeA	Sinorhizobium	192	193	99.48186528497409	192	192	TRUE	TRUE	TRUE
strict	Strict single-dominant	noeB	Sinorhizobium	132	132	100	132	132	TRUE	TRUE	TRUE
strict	Strict single-dominant	nolF	Sinorhizobium	208	208	100	208	208	TRUE	TRUE	TRUE
strict	Strict single-dominant	nolG	Sinorhizobium	201	201	100	201	201	TRUE	TRUE	TRUE
