gene	tree_set	tree_set_label	label_type	group	n_tips	mean_within_tree_distance	median_within_tree_distance	min_within_tree_distance	max_within_tree_distance	mean_between_group_distance	within_between_ratio
nifH	iupac	Mixed-IUPAC	state	WY	11	0.24135770941454546	0.25504548149999995	0.0740495484	0.37795352150000006	0.235692653025826	1.0240357784427787
nifH	iupac	Mixed-IUPAC	state	P.R	81	0.24730982467277776	0.25703690100000004	4.9081e-6	0.4743094399999999	0.24902769584435958	0.9931016862772747
nifH	iupac	Mixed-IUPAC	state	Fl	16	0.2481740398625	0.27307551469999997	0.0150207974	0.48163988139999997	0.24839769203889614	0.9990996205537968
nifH	iupac	Mixed-IUPAC	state	MA	6	0.26251728774	0.262771834	0.1224458028	0.39095299429999997	0.2467611041913838	1.0638519737551342
nifH	iupac	Mixed-IUPAC	state	CA	10	0.2716831514111111	0.2975431017	0.0476335647	0.4699660784	0.2686119230804057	1.0114337006916334
nifH	iupac	Mixed-IUPAC	state	VA	34	0.28511105908003564	0.30110544829999997	0.0066326295	0.5327923378999999	0.26363962605717306	1.0814423588137174
nifJ	iupac	Mixed-IUPAC	closest_blast_genus	Candidatus	325	0.06362703981747382	0.050080155949999997	2.0872e-6	0.3940747553999999	NA	NA
nifJ	iupac	Mixed-IUPAC	site	UNDE	6	0.00145385346	0.0012261484000000002	5.1001000000000005e-6	0.0028630386	0.04135209907016721	0.03515791199699603
nifJ	iupac	Mixed-IUPAC	site	LAJA	9	0.012906067677777779	0.011955516200000004	0.0015968169000000001	0.0265737211	0.041698286837728554	0.30951074148447716
nifJ	iupac	Mixed-IUPAC	site	DEJU	70	0.016356332980910968	0.0068905254999999995	3.106e-6	0.24623551199999996	0.04962101689534451	0.3296251065432223
nifJ	iupac	Mixed-IUPAC	site	BONA	36	0.018339464722222223	0.0075780771	2.0872e-6	0.12805063700000002	0.046016386542618304	0.3985420433922389
nifJ	iupac	Mixed-IUPAC	site	HEAL	38	0.03407211140526315	0.015893670200000005	4.2724e-6	0.1870115742	0.05318141777112606	0.6406770039846892
nifJ	iupac	Mixed-IUPAC	site	DELA	9	0.059806809877777783	0.0694180642	0.0143545022	0.11097864350000002	0.07112382595798172	0.840882911910704
nifJ	iupac	Mixed-IUPAC	site	OSBS	17	0.06007701958235293	0.05851988504999999	0.0016785396	0.12357736779999998	0.06288830248611535	0.955297204843729
nifJ	iupac	Mixed-IUPAC	site	OAES	5	0.07518603356	0.07280276475000001	0.050770747699999993	0.10899075049999998	0.068321390487625	1.100475751786966
nifJ	iupac	Mixed-IUPAC	site	DSNY	12	0.0780272637969697	0.07144575439999999	0.0018686386000000001	0.23351960469999997	0.07216520212145904	1.0812311405384052
nifJ	iupac	Mixed-IUPAC	site	TALL	53	0.09173595100595067	0.0821486218	7.262907999999999e-4	0.3396362062	0.09272694438502359	0.9893127786573223
nifJ	iupac	Mixed-IUPAC	site	JERC	15	0.0942901930895238	0.0693842543	0.0054031227	0.3152865204	0.07870975165643009	1.1979480446222561
nifJ	iupac	Mixed-IUPAC	site	HARV	8	0.09514940280714285	0.14038718295	5.1761e-6	0.19211097489999995	0.09179287514684537	1.0365663201520585
nifJ	iupac	Mixed-IUPAC	site	MLBS	6	0.10402427353333332	0.122340598	0.017958879	0.1684287621	0.09086608370982235	1.144808593991254
nifJ	iupac	Mixed-IUPAC	site	SERC	5	0.1104236166	0.1193635954	0.024455579900000003	0.1791394136	0.12043827254374999	0.9168482266290219
nifJ	iupac	Mixed-IUPAC	site	ORNL	18	0.11425734357058823	0.12388295510000003	0.0051062758	0.22715765719999995	0.09895721254869703	1.15461360145287
nifJ	iupac	Mixed-IUPAC	state	MI	6	0.00145385346	0.0012261484000000002	5.1001000000000005e-6	0.0028630386	0.04135209907016721	0.03515791199699603
nifJ	iupac	Mixed-IUPAC	state	P.R	11	0.01550129169818182	0.015515703100000004	0.0015968169000000001	0.038165786800000004	0.043124163255558755	0.3594572167422561
nifJ	iupac	Mixed-IUPAC	state	Alaska	135	0.023180775731166392	0.0090971782	2.0872e-6	0.252809215	0.06137116952811698	0.3777144204583914
nifJ	iupac	Mixed-IUPAC	state	FL	17	0.06007701958235293	0.05851988504999999	0.0016785396	0.12357736779999998	0.06288830248611535	0.955297204843729
nifJ	iupac	Mixed-IUPAC	state	OK	5	0.07518603356	0.07280276475000001	0.050770747699999993	0.10899075049999998	0.068321390487625	1.100475751786966
nifJ	iupac	Mixed-IUPAC	state	Florida	11	0.08167298462181817	0.0716261533	0.0018686386000000001	0.23351960469999997	0.0747713144092646	1.092303716566716
nifJ	iupac	Mixed-IUPAC	state	VA	9	0.08326784001111111	0.0634306342	0.016220682500000003	0.1684287621	0.07707639462700419	1.0803286844703774
nifJ	iupac	Mixed-IUPAC	state	AL	65	0.09238676799201924	0.0815634799	7.262907999999999e-4	0.35808122219999994	0.08822272503526031	1.047199210351921
nifJ	iupac	Mixed-IUPAC	state	Georgia	15	0.0942901930895238	0.0693842543	0.0054031227	0.3152865204	0.07870975165643009	1.1979480446222561
nifJ	iupac	Mixed-IUPAC	state	MA	8	0.09514940280714285	0.14038718295	5.1761e-6	0.19211097489999995	0.09179287514684537	1.0365663201520585
nifJ	iupac	Mixed-IUPAC	state	MD	5	0.1104236166	0.1193635954	0.024455579900000003	0.1791394136	0.12043827254374999	0.9168482266290219
nifJ	iupac	Mixed-IUPAC	state	TN	18	0.11425734357058823	0.12388295510000003	0.0051062758	0.22715765719999995	0.09895721254869703	1.15461360145287
nifK	iupac	Mixed-IUPAC	closest_blast_genus	Microvirga	176	0.19659219530001296	0.18384123080000006	0	0.6489764895000001	0.3146181321251238	0.62485971158785
nifK	iupac	Mixed-IUPAC	closest_blast_genus	Mesorhizobium	382	0.22726541222029922	0.23036005760000003	4.5732000000000005e-6	0.7212795250999997	0.34483595679037315	0.6590536971133047
nifK	iupac	Mixed-IUPAC	closest_blast_genus	Sinorhizobium	354	0.2348154915822235	0.20555307239999998	3.3434e-6	0.7506330774999995	0.3721545279071427	0.6309623394957402
nifK	iupac	Mixed-IUPAC	closest_blast_genus	Rhizobium	140	0.46684840427655705	0.5038356474500001	2.22e-6	0.9243129927999998	0.4234358414485213	1.1025245351917465
nifK	iupac	Mixed-IUPAC	site	KONA	8	0.025954659546428577	0	0	0.10381505390000001	0.2432841725773709	0.10668453796834769
nifK	iupac	Mixed-IUPAC	site	NOGP	18	0.08403199290784313	0.0704974003	1.17e-5	0.2866626753	0.3227871622129485	0.2603325123952907
nifK	iupac	Mixed-IUPAC	site	SRER	54	0.09473212231369671	0.0479336546	0.0014336095000000001	0.36985258529999976	0.28125288635453116	0.33682186711599776
nifK	iupac	Mixed-IUPAC	site	CPER	15	0.10502106408190473	0.021218720400000002	3.3567e-6	0.47707767709999993	0.31929101529392495	0.3289195719623587
nifK	iupac	Mixed-IUPAC	site	WOOD	31	0.16119476002236557	0.0978293724	4.4247e-6	0.5248188657999999	0.32567801114673783	0.49495131542589005
nifK	iupac	Mixed-IUPAC	site	DCFS	23	0.18537278299367582	0.16725028940000006	6.545557e-4	0.5517074866999999	0.33107303462216603	0.5599150749478307
nifK	iupac	Mixed-IUPAC	site	JORN	12	0.19017492257878787	0.2194945136	0.0161281959	0.4085071085000001	0.2825365905008494	0.6730983843249009
nifK	iupac	Mixed-IUPAC	site	TOOL	66	0.19751033070797203	0.08788705039999999	4.5732000000000005e-6	0.6465244256999999	0.31994445568199925	0.6173269365989028
nifK	iupac	Mixed-IUPAC	site	LENO	19	0.198092269174269	0.19260029959999997	9.024443e-4	0.48342848569999997	0.3041115563300967	0.6513802749384852
nifK	iupac	Mixed-IUPAC	site	RMNP	10	0.22630046923333327	0.28478029089999995	0.0019227603	0.3781723068999998	0.29118823853896353	0.7771621215499481
nifK	iupac	Mixed-IUPAC	site	SJER	6	0.23696623074666662	0.13151916619999998	0.043694882500000004	0.5815905164999999	0.3868143729187699	0.6126096839644295
nifK	iupac	Mixed-IUPAC	site	SERC	5	0.27709536216	0.21877583130000003	0.0795939843	0.49769795330000005	0.33750970654357204	0.8209996832320062
nifK	iupac	Mixed-IUPAC	site	OAES	108	0.27786429383956385	0.29463940235	4.4652e-6	0.7287843895999998	0.31311918279061124	0.8874074445492437
nifK	iupac	Mixed-IUPAC	site	KONZ	33	0.27890372546553027	0.27096506215000005	0.0163784331	0.6258457587999999	0.36279882001281116	0.768755878135661
nifK	iupac	Mixed-IUPAC	site	BLAN	11	0.2859538039345455	0.12856174939999998	0.017827433	0.7298438868999999	0.37387111011743945	0.7648459487675376
nifK	iupac	Mixed-IUPAC	site	YELL	6	0.2891145139	0.30555914860000005	0.0535540058	0.5194450099	0.3070561318331421	0.9415689313024636
nifK	iupac	Mixed-IUPAC	site	DSNY	90	0.29253262099056176	0.2973471080000001	0.00463843	0.7624378194	0.3138828613658375	0.9319802289224338
