gene	tree_set_label	label_type	group	n_tips	mean_within_tree_distance	mean_between_group_distance	within_between_ratio	interpretation
nifJ	Mixed-IUPAC	site	ORNL	18	0.11425734357058823	0.09895721254869703	1.15461360145287	not closer than background
nifJ	Mixed-IUPAC	state	TN	18	0.11425734357058823	0.09895721254869703	1.15461360145287	not closer than background
nifD	Strict single-dominant	state	TN	5	0.33177959222	0.2841876605938192	1.167466566024492	not closer than background
nodX	Strict single-dominant	state	AL	19	0.07150148250877192	0.06079202054722488	1.1761655866204948	not closer than background
nodL	Strict single-dominant	site	OAES	48	0.12417322046374114	0.10499999334712302	1.1826021745852182	not closer than background
nodL	Strict single-dominant	state	OK	48	0.12417322046374114	0.10499999334712302	1.1826021745852182	not closer than background
nodX	Mixed-IUPAC	state	AL	19	0.06584581521403508	0.055501709469067406	1.1863745431252477	not closer than background
nifJ	Mixed-IUPAC	site	JERC	15	0.0942901930895238	0.07870975165643009	1.1979480446222561	not closer than background
nifJ	Mixed-IUPAC	state	Georgia	15	0.0942901930895238	0.07870975165643009	1.1979480446222561	not closer than background
nolG	Strict single-dominant	site	CLBJ	5	0.011803517239999997	0.009844159781530611	1.199037551396259	not closer than background
nolG	Strict single-dominant	state	TX	5	0.011803517239999997	0.009844159781530611	1.199037551396259	not closer than background
nolF	Mixed-IUPAC	site	NOGP	18	0.01122677069738562	0.009336764574432811	1.20242623747077	not closer than background
nifD	Strict single-dominant	site	SCBI	9	0.38622531219444445	0.3192974623660439	1.20960971419082	not closer than background
nifD	Strict single-dominant	state	VA	9	0.38622531219444445	0.3192974623660439	1.20960971419082	not closer than background
nodX	Strict single-dominant	site	DSNY	8	0.06593051815357143	0.053902138308987595	1.2231521832331136	not closer than background
nodX	Strict single-dominant	state	Florida	8	0.06593051815357143	0.053902138308987595	1.2231521832331136	not closer than background
nodL	Mixed-IUPAC	site	OAES	57	0.09962177075827067	0.08129989088815537	1.2253616784716328	not closer than background
nodL	Mixed-IUPAC	state	OK	57	0.09962177075827067	0.08129989088815537	1.2253616784716328	not closer than background
nifJ	Strict single-dominant	site	DSNY	7	0.0877127623047619	0.07002596927044334	1.252574769311816	not closer than background
nodX	Strict single-dominant	state	ND	6	0.07827583216666668	0.06197752911151762	1.262971165336765	not closer than background
nodX	Mixed-IUPAC	site	DSNY	9	0.06051271315555555	0.0472543173920251	1.2805753314250183	not closer than background
nodX	Mixed-IUPAC	state	Florida	9	0.06051271315555555	0.0472543173920251	1.2805753314250183	not closer than background
nifJ	Strict single-dominant	state	Florida	6	0.09676654407999999	0.07530316265466666	1.2850262946293824	not closer than background
nifJ	Strict single-dominant	site	JERC	5	0.10489029713999999	0.08072992213602273	1.2992741026464658	not closer than background
nifJ	Strict single-dominant	state	Georgia	5	0.10489029713999999	0.08072992213602273	1.2992741026464658	not closer than background
nodX	Mixed-IUPAC	state	ND	6	0.07281493810666666	0.0558172430207349	1.3045240890815313	not closer than background
nodX	Strict single-dominant	site	TALL	8	0.08734416019285712	0.06641131168471073	1.315200046153667	not closer than background
nodX	Mixed-IUPAC	site	TALL	8	0.08032547786785714	0.0605790830369	1.3259606095214282	not closer than background
nodL	Strict single-dominant	site	CLBJ	7	0.14403226915238096	0.10711053707785374	1.344706814864447	not closer than background
nodL	Strict single-dominant	state	TX	7	0.14403226915238096	0.10711053707785374	1.344706814864447	not closer than background
nodL	Mixed-IUPAC	site	CLBJ	8	0.14854308947857142	0.10962507216813064	1.3550101864539956	not closer than background
nodL	Mixed-IUPAC	state	TX	8	0.14854308947857142	0.10962507216813064	1.3550101864539956	not closer than background
nolF	Strict single-dominant	site	NOGP	17	0.014972513085294119	0.010904214335571295	1.3730941656613793	not closer than background
