tree_set	tree_set_label	gene	sample_id	tip_label	closest_genus_report	nearest_neighbor_tip	nearest_neighbor_sample_id	nearest_neighbor_closest_genus	nearest_neighbor_distance	nearest_neighbor_same_blast_genus	nearest_neighbor_tie_count	sample_type	site	state	host_genus	host_tribe	native_status
strict	Strict single-dominant	nifH	HARV-1-1-No	HARV-1-1-No|nifH|consensus50|strict_single_dominant	Rhizobium	CLBJ-34-1-No|nifH|consensus50|strict_single_dominant	CLBJ-34-1-No	Mesorhizobium	0.0337045827	FALSE	1	nodule	HARV	MA	Comptonia	actinorhizal	yes
strict	Strict single-dominant	nifH	JERC-198-No	JERC-198-No|nifH|consensus50|strict_single_dominant	Mesorhizobium	CLBJ-34-1-No|nifH|consensus50|strict_single_dominant	CLBJ-34-1-No	Mesorhizobium	0.031151671800000003	TRUE	1	nodule	JERC	Georgia	Chamaecrista	Cassieae	yes
strict	Strict single-dominant	nifH	JERC-37-2-No	JERC-37-2-No|nifH|consensus50|strict_single_dominant	Sinorhizobium	JERC-CEVI-57-2-No|nifH|consensus50|strict_single_dominant	JERC-CEVI-57-2-No	Rhizobium	0.024610448599999998	FALSE	1	nodule	JERC	Georgia	Centrosema	Phaseoleae	yes
strict	Strict single-dominant	nifH	JERC-CEVI-57-2-No	JERC-CEVI-57-2-No|nifH|consensus50|strict_single_dominant	Rhizobium	JERC-37-2-Ro|nifH|consensus50|strict_single_dominant	JERC-37-2-Ro	Rhizobium	0.0230863766	TRUE	1	nodule	JERC	Georgia	Centrosema	Phaseoleae	yes
strict	Strict single-dominant	nifH	JERC-37-2-Ro	JERC-37-2-Ro|nifH|consensus50|strict_single_dominant	Rhizobium	JERC-CEVI-57-2-No|nifH|consensus50|strict_single_dominant	JERC-CEVI-57-2-No	Rhizobium	0.0230863766	TRUE	1	root	JERC	Georgia	Centrosema	Phaseoleae	yes
strict	Strict single-dominant	nifH	JERC-157-2-No	JERC-157-2-No|nifH|consensus50|strict_single_dominant	Bradyrhizobium	CLBJ-34-1-No|nifH|consensus50|strict_single_dominant	CLBJ-34-1-No	Mesorhizobium	0.027081119799999998	FALSE	1	nodule	JERC	Georgia	Chamaecrista	Cassieae	yes
strict	Strict single-dominant	nifH	LENO-6-1-No	LENO-6-1-No|nifH|consensus50|strict_single_dominant	Mesorhizobium	JERC-157-2-No|nifH|consensus50|strict_single_dominant	JERC-157-2-No	Bradyrhizobium	0.040146927400000004	FALSE	1	nodule	LENO	AL	Desmodium	Desmodieae	yes
strict	Strict single-dominant	nifH	UKFS-4-1-No	UKFS-4-1-No|nifH|consensus50|strict_single_dominant	Rhizobium	LENO-6-1-No|nifH|consensus50|strict_single_dominant	LENO-6-1-No	Mesorhizobium	0.0660904227	FALSE	1	nodule	UKFS	KS	Lespedeza	Desmodieae	no
strict	Strict single-dominant	nifH	DSNY-101-1-No	DSNY-101-1-No|nifH|consensus50|strict_single_dominant	Bradyrhizobium	LAJA-15-1-No|nifH|consensus50|strict_single_dominant	LAJA-15-1-No	Bradyrhizobium	0.0949812498	TRUE	1	nodule	DSNY	FLorida	Crotalaria	Crotalarieae	no
strict	Strict single-dominant	nifH	DSNY-10-3-No	DSNY-10-3-No|nifH|consensus50|strict_single_dominant	Mesorhizobium	LAJA-15-1-No|nifH|consensus50|strict_single_dominant	LAJA-15-1-No	Bradyrhizobium	0.0484497724	FALSE	1	nodule	DSNY	Florida	Crotalaria	Crotalarieae	no
