gene	gene_group	metadata_category	metadata_value	total_samples	good_samples	percent_good
nolF	accessory nodulation/symbiosis-related	host_family	Betulaceae	322	6	1.8633540372670807
nolF	accessory nodulation/symbiosis-related	host_family	Elaeagnaceae	76	8	10.526315789473685
nolF	accessory nodulation/symbiosis-related	host_family	Fabaceae	2183	177	8.108108108108109
nolF	accessory nodulation/symbiosis-related	host_family	Myricaceae	140	2	1.4285714285714286
nolF	accessory nodulation/symbiosis-related	host_family	Rhamnaceae	71	4	5.633802816901408
nolF	accessory nodulation/symbiosis-related	host_family	Rosaceae	83	6	7.228915662650603
nolF	accessory nodulation/symbiosis-related	host_family	Unknown	32	6	18.75
nolG	accessory nodulation/symbiosis-related	host_family	Betulaceae	322	4	1.2422360248447204
nolG	accessory nodulation/symbiosis-related	host_family	Elaeagnaceae	76	7	9.210526315789474
nolG	accessory nodulation/symbiosis-related	host_family	Fabaceae	2183	198	9.070087036188731
nolG	accessory nodulation/symbiosis-related	host_family	Myricaceae	140	3	2.142857142857143
nolG	accessory nodulation/symbiosis-related	host_family	Rhamnaceae	71	3	4.225352112676056
nolG	accessory nodulation/symbiosis-related	host_family	Rosaceae	83	9	10.843373493975903
nolG	accessory nodulation/symbiosis-related	host_family	Unknown	32	6	18.75
nifD	nif	host_genus	Acmispon	9	6	66.66666666666667
nifD	nif	host_genus	Aeschynomene	12	7	58.333333333333336
nifD	nif	host_genus	Albizia	24	17	70.83333333333333
nifD	nif	host_genus	Alnus	322	70	21.73913043478261
nifD	nif	host_genus	Alysicarpus	23	8	34.78260869565217
nifD	nif	host_genus	Amorpha	42	34	80.95238095238095
nifD	nif	host_genus	Amphicarpaea	41	19	46.34146341463415
nifD	nif	host_genus	Astragalus	131	119	90.83969465648855
nifD	nif	host_genus	Baptisia	9	5	55.55555555555556
nifD	nif	host_genus	Ceanothus	71	27	38.028169014084504
nifD	nif	host_genus	Centrosema	44	12	27.272727272727273
nifD	nif	host_genus	Chamaecrista	109	53	48.62385321100918
nifD	nif	host_genus	Chapmannia	11	8	72.72727272727273
nifD	nif	host_genus	Clitoria	36	16	44.44444444444444
nifD	nif	host_genus	Comptonia	9	2	22.22222222222222
nifD	nif	host_genus	Crotalaria	108	62	57.407407407407405
nifD	nif	host_genus	Dalea	55	44	80
nifD	nif	host_genus	Desmanthus	12	9	75
nifD	nif	host_genus	Desmodium	428	190	44.39252336448598
nifD	nif	host_genus	Dryas	83	46	55.42168674698795
nifD	nif	host_genus	Elaeagnus	76	23	30.263157894736842
nifD	nif	host_genus	Galactia	86	47	54.651162790697676
nifD	nif	host_genus	Glycine	21	13	61.904761904761905
nifD	nif	host_genus	Indigofera	33	15	45.45454545454545
nifD	nif	host_genus	Kummerowia	6	6	100
nifD	nif	host_genus	Lespedeza	242	132	54.54545454545455
nifD	nif	host_genus	Leucaena	6	4	66.66666666666667
nifD	nif	host_genus	Lotus	24	24	100
nifD	nif	host_genus	Lupinus	126	65	51.58730158730159
nifD	nif	host_genus	Macroptilium	24	13	54.166666666666664
nifD	nif	host_genus	Medicago	59	57	96.61016949152543
nifD	nif	host_genus	Melilotus	32	31	96.875
nifD	nif	host_genus	Mimosa	29	15	51.724137931034484
nifD	nif	host_genus	Morella	131	29	22.137404580152673
nifD	nif	host_genus	Orbexilum	6	3	50
nifD	nif	host_genus	Oxytropis	27	24	88.88888888888889
nifD	nif	host_genus	Pediomelum	19	8	42.10526315789474
nifD	nif	host_genus	Pictetia	9	2	22.22222222222222
nifD	nif	host_genus	Rhynchosia	58	33	56.89655172413793
nifD	nif	host_genus	Robinia	12	8	66.66666666666667
nifD	nif	host_genus	Sesbania	47	30	63.829787234042556
nifD	nif	host_genus	Strophostyles	15	11	73.33333333333333
nifD	nif	host_genus	Stylosanthes	50	24	48
nifD	nif	host_genus	Tephrosia	65	44	67.6923076923077
nifD	nif	host_genus	Thermopsis	6	5	83.33333333333333
nifD	nif	host_genus	Trifolium	21	16	76.19047619047619
nifD	nif	host_genus	Unknown	32	18	56.25
nifD	nif	host_genus	Vicia	28	22	78.57142857142857
nifD	nif	host_genus	Zornia	6	3	50
nifH	nif	host_genus	Acmispon	9	5	55.55555555555556
nifH	nif	host_genus	Aeschynomene	12	7	58.333333333333336
nifH	nif	host_genus	Albizia	24	17	70.83333333333333
nifH	nif	host_genus	Alnus	322	74	22.981366459627328
nifH	nif	host_genus	Alysicarpus	23	9	39.130434782608695
nifH	nif	host_genus	Amorpha	42	35	83.33333333333333
nifH	nif	host_genus	Amphicarpaea	41	18	43.90243902439025
nifH	nif	host_genus	Astragalus	131	108	82.44274809160305
nifH	nif	host_genus	Baptisia	9	7	77.77777777777777
nifH	nif	host_genus	Ceanothus	71	22	30.985915492957748
nifH	nif	host_genus	Centrosema	44	15	34.09090909090909
nifH	nif	host_genus	Chamaecrista	109	59	54.12844036697248
nifH	nif	host_genus	Chapmannia	11	7	63.63636363636363
nifH	nif	host_genus	Clitoria	36	20	55.55555555555556
nifH	nif	host_genus	Comptonia	9	2	22.22222222222222
nifH	nif	host_genus	Crotalaria	108	68	62.96296296296296
nifH	nif	host_genus	Dalea	55	44	80
nifH	nif	host_genus	Desmanthus	12	10	83.33333333333333
nifH	nif	host_genus	Desmodium	428	220	51.401869158878505
nifH	nif	host_genus	Dryas	83	48	57.83132530120482
nifH	nif	host_genus	Elaeagnus	76	22	28.94736842105263
nifH	nif	host_genus	Galactia	86	57	66.27906976744185
nifH	nif	host_genus	Glycine	21	11	52.38095238095238
nifH	nif	host_genus	Indigofera	33	17	51.515151515151516
nifH	nif	host_genus	Kummerowia	6	6	100
nifH	nif	host_genus	Lespedeza	242	134	55.37190082644628
nifH	nif	host_genus	Leucaena	6	5	83.33333333333333
nifH	nif	host_genus	Lotus	24	23	95.83333333333333
nifH	nif	host_genus	Lupinus	126	67	53.17460317460318
nifH	nif	host_genus	Macroptilium	24	15	62.5
nifH	nif	host_genus	Medicago	59	54	91.52542372881356
nifH	nif	host_genus	Melilotus	32	30	93.75
nifH	nif	host_genus	Mimosa	29	19	65.51724137931035
nifH	nif	host_genus	Morella	131	36	27.480916030534353
nifH	nif	host_genus	Orbexilum	6	3	50
nifH	nif	host_genus	Oxytropis	27	24	88.88888888888889
nifH	nif	host_genus	Pediomelum	19	13	68.42105263157895
nifH	nif	host_genus	Pictetia	9	4	44.44444444444444
nifH	nif	host_genus	Rhynchosia	58	41	70.6896551724138
nifH	nif	host_genus	Robinia	12	9	75
nifH	nif	host_genus	Sesbania	47	31	65.95744680851064
nifH	nif	host_genus	Strophostyles	15	12	80
nifH	nif	host_genus	Stylosanthes	50	24	48
nifH	nif	host_genus	Tephrosia	65	41	63.07692307692308
nifH	nif	host_genus	Thermopsis	6	6	100
nifH	nif	host_genus	Trifolium	21	12	57.142857142857146
nifH	nif	host_genus	Unknown	32	15	46.875
nifH	nif	host_genus	Vicia	28	21	75
nifH	nif	host_genus	Zornia	6	2	33.333333333333336
nifJ	nif	host_genus	Acmispon	9	0	0
nifJ	nif	host_genus	Aeschynomene	12	2	16.666666666666668
nifJ	nif	host_genus	Albizia	24	0	0
nifJ	nif	host_genus	Alnus	322	171	53.1055900621118
nifJ	nif	host_genus	Alysicarpus	23	1	4.3478260869565215
nifJ	nif	host_genus	Amorpha	42	1	2.380952380952381
nifJ	nif	host_genus	Amphicarpaea	41	1	2.4390243902439024
nifJ	nif	host_genus	Astragalus	131	0	0
nifJ	nif	host_genus	Baptisia	9	0	0
nifJ	nif	host_genus	Ceanothus	71	12	16.901408450704224
nifJ	nif	host_genus	Centrosema	44	1	2.272727272727273
nifJ	nif	host_genus	Chamaecrista	109	3	2.7522935779816513
nifJ	nif	host_genus	Chapmannia	11	0	0
nifJ	nif	host_genus	Clitoria	36	0	0
nifJ	nif	host_genus	Comptonia	9	4	44.44444444444444
nifJ	nif	host_genus	Crotalaria	108	4	3.7037037037037037
nifJ	nif	host_genus	Dalea	55	0	0
nifJ	nif	host_genus	Desmanthus	12	3	25
nifJ	nif	host_genus	Desmodium	428	15	3.5046728971962615
nifJ	nif	host_genus	Dryas	83	2	2.4096385542168677
nifJ	nif	host_genus	Elaeagnus	76	31	40.78947368421053
nifJ	nif	host_genus	Galactia	86	3	3.488372093023256
nifJ	nif	host_genus	Glycine	21	0	0
nifJ	nif	host_genus	Indigofera	33	2	6.0606060606060606
nifJ	nif	host_genus	Kummerowia	6	0	0
nifJ	nif	host_genus	Lespedeza	242	5	2.0661157024793386
nifJ	nif	host_genus	Leucaena	6	1	16.666666666666668
nifJ	nif	host_genus	Lotus	24	0	0
nifJ	nif	host_genus	Lupinus	126	8	6.349206349206349
nifJ	nif	host_genus	Macroptilium	24	0	0
nifJ	nif	host_genus	Medicago	59	0	0
nifJ	nif	host_genus	Melilotus	32	0	0
nifJ	nif	host_genus	Mimosa	29	0	0
nifJ	nif	host_genus	Morella	131	44	33.587786259541986
nifJ	nif	host_genus	Orbexilum	6	0	0
nifJ	nif	host_genus	Oxytropis	27	0	0
nifJ	nif	host_genus	Pediomelum	19	1	5.2631578947368425
nifJ	nif	host_genus	Pictetia	9	0	0
nifJ	nif	host_genus	Rhynchosia	58	6	10.344827586206897
nifJ	nif	host_genus	Robinia	12	0	0
nifJ	nif	host_genus	Sesbania	47	3	6.382978723404255
nifJ	nif	host_genus	Strophostyles	15	0	0
nifJ	nif	host_genus	Stylosanthes	50	1	2
nifJ	nif	host_genus	Tephrosia	65	0	0
nifJ	nif	host_genus	Thermopsis	6	0	0
nifJ	nif	host_genus	Trifolium	21	1	4.761904761904762
nifJ	nif	host_genus	Unknown	32	2	6.25
nifJ	nif	host_genus	Vicia	28	0	0
nifJ	nif	host_genus	Zornia	6	0	0
nifK	nif	host_genus	Acmispon	9	4	44.44444444444444
nifK	nif	host_genus	Aeschynomene	12	1	8.333333333333334
nifK	nif	host_genus	Albizia	24	10	41.666666666666664
nifK	nif	host_genus	Alnus	322	25	7.763975155279503
nifK	nif	host_genus	Alysicarpus	23	4	17.391304347826086
nifK	nif	host_genus	Amorpha	42	28	66.66666666666667
nifK	nif	host_genus	Amphicarpaea	41	12	29.26829268292683
nifK	nif	host_genus	Astragalus	131	112	85.49618320610686
nifK	nif	host_genus	Baptisia	9	5	55.55555555555556
nifK	nif	host_genus	Ceanothus	71	23	32.394366197183096
nifK	nif	host_genus	Centrosema	44	4	9.090909090909092
nifK	nif	host_genus	Chamaecrista	109	30	27.522935779816514
nifK	nif	host_genus	Chapmannia	11	8	72.72727272727273
nifK	nif	host_genus	Clitoria	36	10	27.77777777777778
nifK	nif	host_genus	Comptonia	9	1	11.11111111111111
nifK	nif	host_genus	Crotalaria	108	45	41.666666666666664
nifK	nif	host_genus	Dalea	55	40	72.72727272727273
nifK	nif	host_genus	Desmanthus	12	9	75
nifK	nif	host_genus	Desmodium	428	113	26.401869158878505
nifK	nif	host_genus	Dryas	83	43	51.80722891566265
nifK	nif	host_genus	Elaeagnus	76	22	28.94736842105263
nifK	nif	host_genus	Galactia	86	30	34.883720930232556
nifK	nif	host_genus	Glycine	21	11	52.38095238095238
nifK	nif	host_genus	Indigofera	33	12	36.36363636363637
nifK	nif	host_genus	Kummerowia	6	4	66.66666666666667
nifK	nif	host_genus	Lespedeza	242	96	39.66942148760331
nifK	nif	host_genus	Leucaena	6	3	50
nifK	nif	host_genus	Lotus	24	24	100
nifK	nif	host_genus	Lupinus	126	44	34.92063492063492
nifK	nif	host_genus	Macroptilium	24	6	25
nifK	nif	host_genus	Medicago	59	54	91.52542372881356
nifK	nif	host_genus	Melilotus	32	29	90.625
nifK	nif	host_genus	Mimosa	29	5	17.24137931034483
nifK	nif	host_genus	Morella	131	18	13.740458015267176
nifK	nif	host_genus	Orbexilum	6	3	50
nifK	nif	host_genus	Oxytropis	27	25	92.5925925925926
nifK	nif	host_genus	Pediomelum	19	10	52.63157894736842
nifK	nif	host_genus	Pictetia	9	0	0
nifK	nif	host_genus	Rhynchosia	58	19	32.758620689655174
nifK	nif	host_genus	Robinia	12	6	50
nifK	nif	host_genus	Sesbania	47	18	38.297872340425535
nifK	nif	host_genus	Strophostyles	15	8	53.333333333333336
nifK	nif	host_genus	Stylosanthes	50	14	28
nifK	nif	host_genus	Tephrosia	65	34	52.30769230769231
nifK	nif	host_genus	Thermopsis	6	4	66.66666666666667
nifK	nif	host_genus	Trifolium	21	14	66.66666666666667
nifK	nif	host_genus	Unknown	32	11	34.375
nifK	nif	host_genus	Vicia	28	22	78.57142857142857
nifK	nif	host_genus	Zornia	6	0	0
nodL	canonical nod	host_genus	Acmispon	9	0	0
nodL	canonical nod	host_genus	Aeschynomene	12	0	0
nodL	canonical nod	host_genus	Albizia	24	1	4.166666666666667
nodL	canonical nod	host_genus	Alnus	322	6	1.8633540372670807
nodL	canonical nod	host_genus	Alysicarpus	23	0	0
nodL	canonical nod	host_genus	Amorpha	42	4	9.523809523809524
nodL	canonical nod	host_genus	Amphicarpaea	41	3	7.317073170731708
nodL	canonical nod	host_genus	Astragalus	131	41	31.297709923664122
nodL	canonical nod	host_genus	Baptisia	9	0	0
nodL	canonical nod	host_genus	Ceanothus	71	3	4.225352112676056
nodL	canonical nod	host_genus	Centrosema	44	0	0
nodL	canonical nod	host_genus	Chamaecrista	109	3	2.7522935779816513
nodL	canonical nod	host_genus	Chapmannia	11	3	27.272727272727273
nodL	canonical nod	host_genus	Clitoria	36	3	8.333333333333334
nodL	canonical nod	host_genus	Comptonia	9	0	0
nodL	canonical nod	host_genus	Crotalaria	108	5	4.62962962962963
nodL	canonical nod	host_genus	Dalea	55	12	21.818181818181817
nodL	canonical nod	host_genus	Desmanthus	12	0	0
nodL	canonical nod	host_genus	Desmodium	428	14	3.2710280373831777
nodL	canonical nod	host_genus	Dryas	83	4	4.819277108433735
nodL	canonical nod	host_genus	Elaeagnus	76	6	7.894736842105263
nodL	canonical nod	host_genus	Galactia	86	1	1.1627906976744187
nodL	canonical nod	host_genus	Glycine	21	1	4.761904761904762
nodL	canonical nod	host_genus	Indigofera	33	1	3.0303030303030303
nodL	canonical nod	host_genus	Kummerowia	6	2	33.333333333333336
nodL	canonical nod	host_genus	Lespedeza	242	12	4.958677685950414
nodL	canonical nod	host_genus	Leucaena	6	0	0
nodL	canonical nod	host_genus	Lotus	24	0	0
nodL	canonical nod	host_genus	Lupinus	126	5	3.9682539682539684
nodL	canonical nod	host_genus	Macroptilium	24	0	0
nodL	canonical nod	host_genus	Medicago	59	48	81.35593220338983
nodL	canonical nod	host_genus	Melilotus	32	25	78.125
nodL	canonical nod	host_genus	Mimosa	29	1	3.4482758620689653
nodL	canonical nod	host_genus	Morella	131	1	0.7633587786259542
nodL	canonical nod	host_genus	Orbexilum	6	0	0
nodL	canonical nod	host_genus	Oxytropis	27	7	25.925925925925927
nodL	canonical nod	host_genus	Pediomelum	19	1	5.2631578947368425
nodL	canonical nod	host_genus	Pictetia	9	0	0
nodL	canonical nod	host_genus	Rhynchosia	58	3	5.172413793103448
nodL	canonical nod	host_genus	Robinia	12	0	0
nodL	canonical nod	host_genus	Sesbania	47	1	2.127659574468085
nodL	canonical nod	host_genus	Strophostyles	15	3	20
nodL	canonical nod	host_genus	Stylosanthes	50	1	2
nodL	canonical nod	host_genus	Tephrosia	65	2	3.076923076923077
nodL	canonical nod	host_genus	Thermopsis	6	3	50
nodL	canonical nod	host_genus	Trifolium	21	4	19.047619047619047
nodL	canonical nod	host_genus	Unknown	32	6	18.75
nodL	canonical nod	host_genus	Vicia	28	3	10.714285714285714
nodL	canonical nod	host_genus	Zornia	6	0	0
nodX	canonical nod	host_genus	Acmispon	9	0	0
nodX	canonical nod	host_genus	Aeschynomene	12	0	0
nodX	canonical nod	host_genus	Albizia	24	1	4.166666666666667
nodX	canonical nod	host_genus	Alnus	322	11	3.4161490683229814
nodX	canonical nod	host_genus	Alysicarpus	23	1	4.3478260869565215
nodX	canonical nod	host_genus	Amorpha	42	4	9.523809523809524
nodX	canonical nod	host_genus	Amphicarpaea	41	1	2.4390243902439024
nodX	canonical nod	host_genus	Astragalus	131	1	0.7633587786259542
nodX	canonical nod	host_genus	Baptisia	9	0	0
nodX	canonical nod	host_genus	Ceanothus	71	0	0
nodX	canonical nod	host_genus	Centrosema	44	1	2.272727272727273
nodX	canonical nod	host_genus	Chamaecrista	109	5	4.587155963302752
nodX	canonical nod	host_genus	Chapmannia	11	2	18.181818181818183
nodX	canonical nod	host_genus	Clitoria	36	2	5.555555555555555
nodX	canonical nod	host_genus	Comptonia	9	0	0
nodX	canonical nod	host_genus	Crotalaria	108	5	4.62962962962963
nodX	canonical nod	host_genus	Dalea	55	1	1.8181818181818181
nodX	canonical nod	host_genus	Desmanthus	12	0	0
nodX	canonical nod	host_genus	Desmodium	428	15	3.5046728971962615
nodX	canonical nod	host_genus	Dryas	83	4	4.819277108433735
nodX	canonical nod	host_genus	Elaeagnus	76	5	6.578947368421052
nodX	canonical nod	host_genus	Galactia	86	9	10.465116279069768
nodX	canonical nod	host_genus	Glycine	21	0	0
nodX	canonical nod	host_genus	Indigofera	33	0	0
nodX	canonical nod	host_genus	Kummerowia	6	3	50
nodX	canonical nod	host_genus	Lespedeza	242	16	6.6115702479338845
nodX	canonical nod	host_genus	Leucaena	6	0	0
nodX	canonical nod	host_genus	Lotus	24	0	0
nodX	canonical nod	host_genus	Lupinus	126	7	5.555555555555555
nodX	canonical nod	host_genus	Macroptilium	24	0	0
nodX	canonical nod	host_genus	Medicago	59	5	8.474576271186441
nodX	canonical nod	host_genus	Melilotus	32	3	9.375
nodX	canonical nod	host_genus	Mimosa	29	0	0
nodX	canonical nod	host_genus	Morella	131	0	0
nodX	canonical nod	host_genus	Orbexilum	6	0	0
nodX	canonical nod	host_genus	Oxytropis	27	0	0
nodX	canonical nod	host_genus	Pediomelum	19	3	15.789473684210526
nodX	canonical nod	host_genus	Pictetia	9	0	0
nodX	canonical nod	host_genus	Rhynchosia	58	2	3.4482758620689653
nodX	canonical nod	host_genus	Robinia	12	0	0
nodX	canonical nod	host_genus	Sesbania	47	5	10.638297872340425
nodX	canonical nod	host_genus	Strophostyles	15	1	6.666666666666667
nodX	canonical nod	host_genus	Stylosanthes	50	1	2
nodX	canonical nod	host_genus	Tephrosia	65	1	1.5384615384615385
nodX	canonical nod	host_genus	Thermopsis	6	0	0
nodX	canonical nod	host_genus	Trifolium	21	14	66.66666666666667
nodX	canonical nod	host_genus	Unknown	32	4	12.5
nodX	canonical nod	host_genus	Vicia	28	4	14.285714285714286
nodX	canonical nod	host_genus	Zornia	6	0	0
noeA	accessory nodulation/symbiosis-related	host_genus	Acmispon	9	1	11.11111111111111
noeA	accessory nodulation/symbiosis-related	host_genus	Aeschynomene	12	0	0
noeA	accessory nodulation/symbiosis-related	host_genus	Albizia	24	1	4.166666666666667
noeA	accessory nodulation/symbiosis-related	host_genus	Alnus	322	3	0.9316770186335404
noeA	accessory nodulation/symbiosis-related	host_genus	Alysicarpus	23	0	0
noeA	accessory nodulation/symbiosis-related	host_genus	Amorpha	42	4	9.523809523809524
noeA	accessory nodulation/symbiosis-related	host_genus	Amphicarpaea	41	2	4.878048780487805
noeA	accessory nodulation/symbiosis-related	host_genus	Astragalus	131	24	18.3206106870229
