tree_set	tree_set_label	gene	gene_group	sample_type	closest_genus	n	gene_sample_type_total	percent
strict	Strict single-dominant	nifH	nif	No	Ensifer	2	215	0.9302325581395349
strict	Strict single-dominant	nifH	nif	Rh	Mesorhizobium	38	97	39.175257731958766
strict	Strict single-dominant	nifH	nif	Rh	Microvirga	27	97	27.835051546391753
strict	Strict single-dominant	nifH	nif	Rh	Bradyrhizobium	17	97	17.52577319587629
strict	Strict single-dominant	nifH	nif	Rh	Rhizobium	6	97	6.185567010309279
strict	Strict single-dominant	nifH	nif	Rh	Sinorhizobium	5	97	5.154639175257732
strict	Strict single-dominant	nifH	nif	Rh	Neorhizobium	2	97	2.0618556701030926
strict	Strict single-dominant	nifH	nif	Rh	Burkholderia	1	97	1.0309278350515463
strict	Strict single-dominant	nifH	nif	Rh	Ensifer	1	97	1.0309278350515463
strict	Strict single-dominant	nifH	nif	Ro	Mesorhizobium	40	75	53.333333333333336
strict	Strict single-dominant	nifH	nif	Ro	Sinorhizobium	12	75	16
strict	Strict single-dominant	nifH	nif	Ro	Microvirga	8	75	10.666666666666666
strict	Strict single-dominant	nifH	nif	Ro	Bradyrhizobium	6	75	8
strict	Strict single-dominant	nifH	nif	Ro	Neorhizobium	3	75	4
strict	Strict single-dominant	nifH	nif	Ro	Rhizobium	3	75	4
strict	Strict single-dominant	nifH	nif	Ro	Ensifer	2	75	2.6666666666666665
strict	Strict single-dominant	nifH	nif	Ro	Burkholderia	1	75	1.3333333333333333
strict	Strict single-dominant	nifJ	nif	MC	Candidatus	2	2	100
strict	Strict single-dominant	nifJ	nif	No	Candidatus	115	115	100
strict	Strict single-dominant	nifJ	nif	Rh	Candidatus	27	27	100
strict	Strict single-dominant	nifJ	nif	Ro	Candidatus	37	37	100
strict	Strict single-dominant	nifK	nif	No	Sinorhizobium	68	190	35.78947368421053
strict	Strict single-dominant	nifK	nif	No	Mesorhizobium	64	190	33.68421052631579
strict	Strict single-dominant	nifK	nif	No	Microvirga	31	190	16.31578947368421
strict	Strict single-dominant	nifK	nif	No	Rhizobium	27	190	14.210526315789474
strict	Strict single-dominant	nifK	nif	Rh	Sinorhizobium	66	152	43.421052631578945
strict	Strict single-dominant	nifK	nif	Rh	Mesorhizobium	59	152	38.81578947368421
strict	Strict single-dominant	nifK	nif	Rh	Microvirga	18	152	11.842105263157896
strict	Strict single-dominant	nifK	nif	Rh	Rhizobium	9	152	5.921052631578948
strict	Strict single-dominant	nifK	nif	Ro	Sinorhizobium	46	113	40.70796460176991
strict	Strict single-dominant	nifK	nif	Ro	Mesorhizobium	42	113	37.16814159292036
strict	Strict single-dominant	nifK	nif	Ro	Microvirga	13	113	11.504424778761061
strict	Strict single-dominant	nifK	nif	Ro	Rhizobium	12	113	10.619469026548673
strict	Strict single-dominant	nodL	canonical nod	No	Sinorhizobium	71	86	82.55813953488372
strict	Strict single-dominant	nodL	canonical nod	No	Rhizobium	15	86	17.441860465116278
