sample	target	length	covered_bases	percent_covered_from_pileup	mean_depth_from_pileup	median_depth_from_pileup	N_count	N_percent	mixed_positions	max_minor_allele_fraction	min_base_qual	min_map_qual	minor_count_threshold	minor_fraction_threshold	mixed_site_depth_threshold	mixed_positions_threshold	status
JERC-2-1-No	nodL.fa	612	545	89.0523	432.7680	64	67	10.9477	5	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
JERC-2-1-Ro	nodL.fa	612	553	90.3595	7.5980	8	59	9.6405	0	0.1667	20	10	5	0.2000	20	10	pass_single_dominant
JERC-5-3-No	nodL.fa	612	488	79.7386	563.4837	128	124	20.2614	21	0.4652	20	10	5	0.2000	20	10	fail_high_N
JERC-89-1-No	nodL.fa	612	553	90.3595	6.8284	5	59	9.6405	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
JERC-98-3-No	nodL.fa	612	484	79.0850	9.8154	5	128	20.9150	0	0.5000	20	10	5	0.2000	20	10	fail_high_N
JERC-CRJU-86-1-Rh	nodL.fa	612	553	90.3595	13.4788	5	59	9.6405	0	0.2857	20	10	5	0.2000	20	10	pass_single_dominant
JERC-DEST-32-1-No	nodL.fa	612	553	90.3595	30.0212	24	59	9.6405	1	0.2500	20	10	5	0.2000	20	10	pass_single_dominant
JERC-RHRE-55-1-Rh	nodL.fa	612	552	90.1961	8.0441	8	60	9.8039	1	0.4667	20	10	5	0.2000	20	10	pass_single_dominant
JERC-RHTO-58-1-Ro	nodL.fa	612	553	90.3595	39.5703	8	59	9.6405	0	0.2000	20	10	5	0.2000	20	10	pass_single_dominant
JORN-3-1-Rh	nodL.fa	612	553	90.3595	8.2614	9	59	9.6405	0	0.2000	20	10	5	0.2000	20	10	pass_single_dominant
KONZ-1-Rh	nodL.fa	612	531	86.7647	645.9428	516	81	13.2353	0	0.0151	20	10	5	0.2000	20	10	pass_single_dominant
KONZ-1-Ro	nodL.fa	612	553	90.3595	271.8415	255	59	9.6405	0	0.0733	20	10	5	0.2000	20	10	pass_single_dominant
KONZ-6-1-Ro	nodL.fa	612	553	90.3595	8.8840	6	59	9.6405	1	0.4118	20	10	5	0.2000	20	10	pass_single_dominant
LAJA-25-1-No	nodL.fa	612	546	89.2157	5.4739	6	66	10.7843	0	0.0000	20	10	5	0.2000	20	10	pass_single_dominant
LENO-14-3-No	nodL.fa	612	488	79.7386	28.4085	5	124	20.2614	0	0.4286	20	10	5	0.2000	20	10	fail_high_N
LENO-15-2-No	nodL.fa	612	553	90.3595	6.5719	7	59	9.6405	0	0.3333	20	10	5	0.2000	20	10	pass_single_dominant
NIWO-1-No	nodL.fa	612	541	88.3987	9.1471	3	71	11.6013	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
NIWO-1-Rh	nodL.fa	612	545	89.0523	6.0752	4	67	10.9477	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
DCFS-8-1-No	nodL.fa	612	558	91.1765	6017.7059	7046	54	8.8235	1	0.4286	20	10	5	0.2000	20	10	pass_single_dominant
NOGP-1-1-Rh	nodL.fa	612	553	90.3595	15.0278	5	59	9.6405	0	0.4000	20	10	5	0.2000	20	10	pass_single_dominant
NOGP-1-1-Ro	nodL.fa	612	553	90.3595	6.0899	6	59	9.6405	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
NOGP-1-1-No	nodL.fa	612	558	91.1765	5440.8529	6417	54	8.8235	0	0.0072	20	10	5	0.2000	20	10	pass_single_dominant
NOGP-2-1-Rh	nodL.fa	612	553	90.3595	176.9559	9	59	9.6405	0	0.4545	20	10	5	0.2000	20	10	pass_single_dominant
NOGP-2-1-Ro	nodL.fa	612	558	91.1765	5080.5016	5700	54	8.8235	0	0.2000	20	10	5	0.2000	20	10	pass_single_dominant
NOGP-3-2-No	nodL.fa	612	558	91.1765	6106.3742	7344	54	8.8235	1	0.4286	20	10	5	0.2000	20	10	pass_single_dominant
NOGP-3-2-Rh	nodL.fa	612	553	90.3595	12.5507	9	59	9.6405	0	0.4000	20	10	5	0.2000	20	10	pass_single_dominant
NOGP-3-2-Ro	nodL.fa	612	554	90.5229	491.0033	551	58	9.4771	0	0.0153	20	10	5	0.2000	20	10	pass_single_dominant
NOGP-4-1-Rh	nodL.fa	612	553	90.3595	56.8627	9	59	9.6405	3	0.4444	20	10	5	0.2000	20	10	pass_single_dominant
