sample	target	length	covered_bases	percent_covered_from_pileup	mean_depth_from_pileup	median_depth_from_pileup	N_count	N_percent	mixed_positions	max_minor_allele_fraction	min_base_qual	min_map_qual	minor_count_threshold	minor_fraction_threshold	mixed_site_depth_threshold	mixed_positions_threshold	status
CLBJ-3-1-Rh	nifH.fa	997	827	82.9488	101.4233	12	170	17.0512	9	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-3-1-Ro	nifH.fa	997	801	80.3410	748.0802	70	196	19.6590	30	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-32-1-Rh	nifH.fa	997	834	83.6510	2513.2698	976	163	16.3490	4	0.4451	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-32-1-Ro	nifH.fa	997	807	80.9428	208.5817	51	190	19.0572	38	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-30-1-No	nifH.fa	997	804	80.6419	3394.9950	2081	193	19.3581	2	0.4490	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-34-1-Rh	nifH.fa	997	834	83.6510	1014.5236	379	163	16.3490	69	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-34-1-No	nifH.fa	997	833	83.5507	3453.8806	2285	164	16.4493	8	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-35-1-Ro	nifH.fa	997	827	82.9488	112.8054	68	170	17.0512	68	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-35-1-No	nifH.fa	997	833	83.5507	2056.4804	992	164	16.4493	15	0.4785	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-36-1-No	nifH.fa	997	798	80.0401	2639.7021	904	199	19.9599	9	0.4378	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-39-1-Rh	nifH.fa	997	828	83.0491	304.4132	21	169	16.9509	15	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-40-1-Rh	nifH.fa	997	797	79.9398	146.9047	10	200	20.0602	0	0.5000	20	10	5	0.2000	20	10	fail_high_N
CLBJ-40-1-Ro	nifH.fa	997	833	83.5507	194.1966	141	164	16.4493	49	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-39-1-No	nifH.fa	997	832	83.4504	3007.9519	1589	165	16.5496	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-4-1-Rh	nifH.fa	997	803	80.5416	213.5627	172	194	19.4584	33	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-4-1-Ro	nifH.fa	997	798	80.0401	3829.8967	5187	199	19.9599	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-42-1-No	nifH.fa	997	832	83.4504	2482.8004	563	165	16.5496	1	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-42-1-Ro	nifH.fa	997	827	82.9488	359.6650	95	170	17.0512	29	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-43-2-No	nifH.fa	997	832	83.4504	934.7633	17	165	16.5496	7	0.4706	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-43-2-Rh	nifH.fa	997	832	83.4504	522.7342	106	165	16.5496	52	0.4891	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-43-2-Ro	nifH.fa	997	835	83.7513	364.5577	75	162	16.2487	31	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-44-1-Ro	nifH.fa	997	805	80.7422	28.6229	17	192	19.2578	43	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-45-2-Ro	nifH.fa	997	803	80.5416	32.1545	8	194	19.4584	33	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-46-1-Ro	nifH.fa	997	801	80.3410	2164.1705	1063	196	19.6590	67	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-47-1-Rh	nifH.fa	997	799	80.1404	680.0782	298	198	19.8596	36	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-4-1-No	nifH.fa	997	824	82.6479	5427.5476	7588	173	17.3521	3	0.4545	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-49-1-Rh	nifH.fa	997	808	81.0431	1583.7813	1021	189	18.9569	55	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-49-1-Ro	nifH.fa	997	833	83.5507	51.3370	16	164	16.4493	30	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-48-1-No	nifH.fa	997	819	82.1464	2362.0702	269	178	17.8536	35	0.4651	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-50-3-Rh	nifH.fa	997	833	83.5507	862.9478	301	164	16.4493	26	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-50-3-No	nifH.fa	997	800	80.2407	2232.0140	1367	197	19.7593	32	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-5-2-Rh	nifH.fa	997	820	82.2467	238.1374	265	177	17.7533	25	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-5-2-Ro	nifH.fa	997	831	83.3501	95.5587	80	166	16.6499	53	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-6-3-No	nifH.fa	997	832	83.4504	230.7202	18	165	16.5496	18	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-7-1-No	nifH.fa	997	831	83.3501	135.4824	9	166	16.6499	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-7-1-Rh	nifH.fa	997	805	80.7422	112.6780	21	192	19.2578	40	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-7-1-Ro	nifH.fa	997	796	79.8395	113.4122	34	201	20.1605	45	0.4910	20	10	5	0.2000	20	10	fail_high_N
CLBJ-8-1-Rh	nifH.fa	997	830	83.2497	50.0070	24	167	16.7503	49	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-8-1-Ro	nifH.fa	997	823	82.5476	55.2056	35	174	17.4524	40	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CLBJ-9-1-No	nifH.fa	997	824	82.6479	1451.1906	102	173	17.3521	19	0.3831	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CPER-1-No	nifH.fa	997	833	83.5507	2865.8054	3644	164	16.4493	2	0.3333	20	10	5	0.2000	20	10	pass_single_dominant
CPER-1-Rh	nifH.fa	997	821	82.3470	1370.5406	1097	176	17.6530	42	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CPER-1-Ro	nifH.fa	997	826	82.8485	16.6810	14	171	17.1515	12	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CPER-2-No	nifH.fa	997	833	83.5507	4709.2046	6641	164	16.4493	11	0.4611	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CPER-2-Rh	nifH.fa	997	833	83.5507	2518.1354	2616	164	16.4493	43	0.4896	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CPER-2-Ro	nifH.fa	997	830	83.2497	244.6319	259	167	16.7503	60	0.4951	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CPER-3-1-No	nifH.fa	997	832	83.4504	4146.2658	5699	165	16.5496	5	0.4167	20	10	5	0.2000	20	10	pass_single_dominant
CPER-3-1-Rh	nifH.fa	997	826	82.8485	2827.4132	3259	171	17.1515	9	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
CPER-3-1-Ro	nifH.fa	997	827	82.9488	164.4313	173	170	17.0512	29	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CPER-4-No	nifH.fa	997	832	83.4504	4500.1434	6264	165	16.5496	3	0.4444	20	10	5	0.2000	20	10	pass_single_dominant
CPER-4-Rh	nifH.fa	997	832	83.4504	3393.1926	4478	165	16.5496	38	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CPER-4-Ro	nifH.fa	997	809	81.1434	47.3751	43	188	18.8566	22	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CPER-5-1-No	nifH.fa	997	833	83.5507	4948.9228	7234	164	16.4493	5	0.4694	20	10	5	0.2000	20	10	pass_single_dominant
CLBJ-5-2-No	nifH.fa	997	824	82.6479	5430.2859	7746	173	17.3521	10	0.4286	20	10	5	0.2000	20	10	pass_single_dominant
CPER-5-1-Ro	nifH.fa	997	833	83.5507	67.1946	85	164	16.4493	38	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DCFS-1-2-Rh	nifH.fa	997	815	81.7452	1175.6971	805	182	18.2548	23	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
CPER-5-1-Rh	nifH.fa	997	832	83.4504	4612.9639	6040	165	16.5496	7	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
DCFS-2-2-Rh	nifH.fa	997	817	81.9458	442.5577	647	180	18.0542	1	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
DCFS-2-2-Ro	nifH.fa	997	821	82.3470	253.4694	86	176	17.6530	7	0.4444	20	10	5	0.2000	20	10	pass_single_dominant
DCFS-3-2-No	nifH.fa	997	820	82.2467	2995.4905	3168	177	17.7533	32	0.4449	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DCFS-2-2-No	nifH.fa	997	821	82.3470	5024.9539	7496	176	17.6530	10	0.4762	20	10	5	0.2000	20	10	pass_single_dominant
DCFS-4-Rh	nifH.fa	997	833	83.5507	699.4734	205	164	16.4493	80	0.4892	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DCFS-4-Ro	nifH.fa	997	833	83.5507	623.2889	580	164	16.4493	63	0.4889	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DCFS-5-1-No	nifH.fa	997	833	83.5507	4997.1304	7293	164	16.4493	13	0.4615	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DCFS-5-1-Rh	nifH.fa	997	833	83.5507	1714.2718	765	164	16.4493	24	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DCFS-5-1-Ro	nifH.fa	997	833	83.5507	265.4835	146	164	16.4493	69	0.4975	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DCFS-6-1-No	nifH.fa	997	832	83.4504	5023.3852	7472	165	16.5496	13	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DCFS-6-1-Rh	nifH.fa	997	833	83.5507	457.7172	161	164	16.4493	49	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DCFS-6-1-Ro	nifH.fa	997	832	83.4504	43.9599	30	165	16.5496	102	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DCFS-7-1-No	nifH.fa	997	833	83.5507	437.3480	355	164	16.4493	36	0.4921	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DCFS-7-1-Rh	nifH.fa	997	825	82.7482	1274.1675	232	172	17.2518	12	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DCFS-7-1-Ro	nifH.fa	997	822	82.4473	19.7161	23	175	17.5527	88	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DCFS-8-1-No	nifH.fa	997	831	83.3501	4810.4524	6955	166	16.6499	8	0.4783	20	10	5	0.2000	20	10	pass_single_dominant
DCFS-8-1-Rh	nifH.fa	997	833	83.5507	534.0211	208	164	16.4493	37	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DCFS-8-1-Ro	nifH.fa	997	832	83.4504	43.5838	32	165	16.5496	92	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DEJU-10-1-No	nifH.fa	997	832	83.4504	23.3962	16	165	16.5496	55	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DEJU-11-1-No	nifH.fa	997	827	82.9488	35.8867	31	170	17.0512	39	0.4776	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DEJU-11-1-Ro	nifH.fa	997	821	82.3470	32.2066	35	176	17.6530	19	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DEJU-1-1-No	nifH.fa	997	828	83.0491	2515.9629	6	169	16.9509	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
DEJU-18-1-No	nifH.fa	997	833	83.5507	20.0100	11	164	16.4493	49	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
DEJU-20-1-No	nifH.fa	997	808	81.0431	13.2748	10	189	18.9569	38	0.5000	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
