sample	target	length	covered_bases	percent_covered_from_pileup	mean_depth_from_pileup	median_depth_from_pileup	N_count	N_percent	mixed_positions	max_minor_allele_fraction	min_base_qual	min_map_qual	minor_count_threshold	minor_fraction_threshold	mixed_site_depth_threshold	mixed_positions_threshold	status
N13-2-D-Rh	nodX.fa	1121	1100	98.1267	778.8189	53	21	1.8733	0	0.4286	20	10	5	0.2000	20	10	pass_single_dominant
N13-2-D-Ro	nodX.fa	1121	1106	98.6619	5901.4273	6689	15	1.3381	2	0.4495	20	10	5	0.2000	20	10	pass_single_dominant
N36-4-D-Ro	nodX.fa	1121	1088	97.0562	11.7440	12	33	2.9438	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
N13-2-D-No	nodX.fa	1121	1106	98.6619	7034.8189	7796	15	1.3381	32	0.4800	20	10	5	0.2000	20	10	pass_mixed_possible_multitemplate
NOGP-2-1-No	nodX.fa	1121	1101	98.2159	8.6735	8	20	1.7841	0	0.4615	20	10	5	0.2000	20	10	pass_single_dominant
NOGP-3-2-Rh	nodX.fa	1121	1074	95.8073	7.1231	8	47	4.1927	0	0.5000	20	10	5	0.2000	20	10	pass_single_dominant
NOGP-7-2-Ro	nodX.fa	1121	1084	96.6994	10.5094	10	37	3.3006	0	0.4286	20	10	5	0.2000	20	10	pass_single_dominant
OAES-35-1-No	nodX.fa	1121	1101	98.2159	30.1650	30	20	1.7841	0	0.0625	20	10	5	0.2000	20	10	pass_single_dominant
OAES-35-1-Rh	nodX.fa	1121	1102	98.3051	2032.1293	3096	19	1.6949	0	0.1111	20	10	5	0.2000	20	10	pass_single_dominant
OAES-35-1-Ro	nodX.fa	1121	1101	98.2159	19.9286	19	20	1.7841	0	0.1053	20	10	5	0.2000	20	10	pass_single_dominant
ORNL-10-1-No	nodX.fa	1121	1100	98.1267	16.6450	17	21	1.8733	0	0.3333	20	10	5	0.2000	20	10	pass_single_dominant
ORNL-10-1-Rh	nodX.fa	1121	1101	98.2159	10.1873	10	20	1.7841	0	0.2500	20	10	5	0.2000	20	10	pass_single_dominant
ORNL-10-1-Ro	nodX.fa	1121	1101	98.2159	19.6146	23	20	1.7841	0	0.1250	20	10	5	0.2000	20	10	pass_single_dominant
ORNL-1-1-No	nodX.fa	1121	1102	98.3051	40.0027	41	19	1.6949	0	0.0750	20	10	5	0.2000	20	10	pass_single_dominant
ORNL-1-1-Rh	nodX.fa	1121	1057	94.2908	8.1017	9	64	5.7092	0	0.0000	20	10	5	0.2000	20	10	pass_single_dominant
ORNL-14-1-No	nodX.fa	1121	1101	98.2159	2241.5718	1705	20	1.7841	0	0.1019	20	10	5	0.2000	20	10	pass_single_dominant
ORNL-4-1-No	nodX.fa	1121	1108	98.8403	7176.8296	7854	13	1.1597	0	0.0249	20	10	5	0.2000	20	10	pass_single_dominant
ORNL-4-1-Rh	nodX.fa	1121	1030	91.8822	33.4550	33	91	8.1178	3	0.3585	20	10	5	0.2000	20	10	pass_single_dominant
ORNL-4-1-Ro	nodX.fa	1121	1104	98.4835	5351.9679	6062	17	1.5165	1	0.4049	20	10	5	0.2000	20	10	pass_single_dominant
ORNL-9-1-No	nodX.fa	1121	1102	98.3051	24.8385	25	19	1.6949	0	0.0588	20	10	5	0.2000	20	10	pass_single_dominant
ORNL-9-1-Rh	nodX.fa	1121	1102	98.3051	29.7529	30	19	1.6949	0	0.1250	20	10	5	0.2000	20	10	pass_single_dominant
OSBS-35-1-Rh	nodX.fa	1121	1103	98.3943	30.0999	28	18	1.6057	0	0.0400	20	10	5	0.2000	20	10	pass_single_dominant
OSBS-35-1-Ro	nodX.fa	1121	1101	98.2159	18.7574	19	20	1.7841	0	0.1667	20	10	5	0.2000	20	10	pass_single_dominant
OSBS-44-1-No	nodX.fa	1121	1103	98.3943	16.1035	17	18	1.6057	0	0.1111	20	10	5	0.2000	20	10	pass_single_dominant
OSBS-44-1-Rh	nodX.fa	1121	1102	98.3051	18.3961	18	19	1.6949	0	0.1429	20	10	5	0.2000	20	10	pass_single_dominant
OSBS-44-1-Ro	nodX.fa	1121	1104	98.4835	49.6896	55	17	1.5165	0	0.1250	20	10	5	0.2000	20	10	pass_single_dominant
